Statistic,High,Opponent
POINTS,106,Maranatha Baptist (11/22/24)
FIELD GOALS MADE,43,Maranatha Baptist (11/22/24)
FIELD GOAL ATTEMPTS,74,Maranatha Baptist (11/22/24)
3 PT FIELD GOALS MADE,10,Maranatha Baptist (11/22/24); Central (IA) (11/13/24)
3 PT FG ATTEMPTS,28,Central (IA) (11/13/24)
FREE THROWS MADE,22,Neb. Wesleyan (11/20/24)
FREE THROW ATTEMPTS,27,Lawrence (01/11/25)
REBOUNDS,64,Knox (12/03/24)
ASSISTS,26,Maranatha Baptist (11/22/24)
STEALS,10,Neb. Wesleyan (11/20/24); Maranatha Baptist (11/22/24); Ripon (01/08/25)
BLOCKED SHOTS,11,Knox (12/03/24)
TURNOVERS,28,Lawrence (12/07/24)
FOULS,22,Lawrence (12/07/24)
