Statistic,High,Player,Opponent
POINTS,24,"Perez,Adriana",Maranatha Baptist (11/22/24)
FIELD GOALS MADE,10,"Perez,Adriana",Maranatha Baptist (11/22/24)
FIELD GOAL ATTEMPTS,18,"Strovers,Bailey",Lake Forest (01/04/25)
3 PT FIELD GOALS MADE,4,"Ware,Nikki; Strovers,Bailey",Buena Vista (11/26/24); Central (IA) (11/13/24); Beloit (01/14/25)
3 PT FG ATTEMPTS,9,"Ware,Nikki; Strovers,Bailey",Knox (12/03/24); Central (IA) (11/13/24)
FREE THROWS MADE,7,"Pak,Cassidy",Neb. Wesleyan (11/20/24)
FREE THROW ATTEMPTS,10,"Booher,Sara",Lake Forest (01/04/25)
REBOUNDS,20,"Booher,Sara",Knox (12/03/24)
ASSISTS,8,"Ware,Nikki",Maranatha Baptist (11/22/24)
STEALS,3,"Ware,Nikki; Booher,Sara; Strovers,Bailey; Stephens,Reese",Cent. Christian (KS) (11/08/24); Maranatha Baptist (11/22/24); Ripon (01/08/25); Coe (12/13/24); Lake Forest (01/04/25); Beloit (01/14/25)
BLOCKED SHOTS,10,"Booher,Sara",Knox (12/03/24)
TURNOVERS,7,"Ware,Nikki",Lawrence (12/07/24)
FOULS,5,"Ware,Nikki",Lawrence (12/07/24)
