#,Player,GP,GS,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0
#,Player,GP,GS,MIN,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG
25.0,"Strovers, Bailey 25 Strovers, Bailey",16,16.0,438,64,154,0.416,27,75,0.36,41,51,0.804,196,12.3
34.0,"Booher, Sara 34 Booher, Sara",16,16.0,390,76,139,0.547,0,1,0.0,28,45,0.622,180,11.3
10.0,"Ware, Nikki 10 Ware, Nikki",16,16.0,413,56,141,0.397,34,77,0.442,41,46,0.891,187,11.7
15.0,"Pak, Cassidy 15 Pak, Cassidy",16,0.0,286,42,119,0.353,10,43,0.233,28,43,0.651,122,7.6
33.0,"Perez, Adriana 33 Perez, Adriana",14,0.0,191,31,86,0.36,9,39,0.231,37,51,0.725,108,7.7
22.0,"Thomas, Skylar 22 Thomas, Skylar",16,16.0,373,22,85,0.259,7,29,0.241,21,34,0.618,72,4.5
14.0,"Pierce, Carolyn 14 Pierce, Carolyn",4,3.0,53,5,13,0.385,3,9,0.333,5,5,1.0,18,4.5
11.0,"Lynch, Nora 11 Lynch, Nora",15,0.0,263,22,50,0.44,9,29,0.31,11,14,0.786,64,4.3
32.0,"Ericksen, Kelsey 32 Ericksen, Kelsey",1,0.0,3,1,1,1.0,1,1,1.0,0,0,0.0,3,3.0
21.0,"Rigel, Amelia 21 Rigel, Amelia",14,0.0,104,18,50,0.36,4,22,0.182,15,19,0.789,55,3.9
45.0,"Schwartzman, Juniper 45 Schwartzman, Juniper",16,0.0,239,14,33,0.424,0,0,0.0,16,29,0.552,44,2.8
13.0,"Marsh, Grace 13 Marsh, Grace",16,13.0,324,7,24,0.292,4,15,0.267,0,3,0.0,18,1.1
12.0,"Stephens, Reese 12 Stephens, Reese",12,0.0,98,6,18,0.333,3,7,0.429,0,2,0.0,15,1.3
5.0,"Cordes, Eleanor 05 Cordes, Eleanor",1,0.0,3,0,2,0.0,0,0,0.0,0,0,0.0,0,0.0
24.0,"Keller, Jenna 24 Keller, Jenna",5,0.0,19,1,6,0.167,1,5,0.2,0,0,0.0,3,0.6
20.0,"Roesler, Emily 20 Roesler, Emily",7,0.0,28,1,1,1.0,0,0,0.0,0,0,0.0,2,0.3
,Total,16,,3225,366,922,0.397,112,352,0.318,243,342,0.711,1087,67.94
,Opponents,16,,3225,340,1016,0.335,105,372,0.282,130,184,0.707,915,57.19
