#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
25,"Strovers, Bailey 25 Strovers, Bailey",16,16.0,438,27.4,64,154,0.416,27,75,0.36,41,51,0.804,196,12.3,32,110,142,8.9,25,10,35,16,1,View Bio
10,"Ware, Nikki 10 Ware, Nikki",16,16.0,413,25.8,56,141,0.397,34,77,0.442,41,46,0.891,187,11.7,5,43,48,3.0,33,47,46,24,3,View Bio
34,"Booher, Sara 34 Booher, Sara",16,16.0,390,24.4,76,139,0.547,0,1,0.0,28,45,0.622,180,11.3,48,126,174,10.9,37,24,33,12,58,View Bio
33,"Perez, Adriana 33 Perez, Adriana",14,0.0,191,13.6,31,86,0.36,9,39,0.231,37,51,0.725,108,7.7,10,30,40,2.9,18,11,16,8,1,View Bio
15,"Pak, Cassidy 15 Pak, Cassidy",16,0.0,286,17.9,42,119,0.353,10,43,0.233,28,43,0.651,122,7.6,2,16,18,1.1,26,24,38,7,0,View Bio
22,"Thomas, Skylar 22 Thomas, Skylar",16,16.0,373,23.3,22,85,0.259,7,29,0.241,21,34,0.618,72,4.5,7,43,50,3.1,18,30,30,9,4,View Bio
14,"Pierce, Carolyn 14 Pierce, Carolyn",4,3.0,53,13.3,5,13,0.385,3,9,0.333,5,5,1.0,18,4.5,0,2,2,0.5,4,4,4,2,1,View Bio
11,"Lynch, Nora 11 Lynch, Nora",15,0.0,263,17.5,22,50,0.44,9,29,0.31,11,14,0.786,64,4.3,15,30,45,3.0,8,12,7,5,0,View Bio
21,"Rigel, Amelia 21 Rigel, Amelia",14,0.0,104,7.4,18,50,0.36,4,22,0.182,15,19,0.789,55,3.9,3,10,13,0.9,12,6,14,8,1,View Bio
32,"Ericksen, Kelsey 32 Ericksen, Kelsey",1,0.0,3,3.0,1,1,1.0,1,1,1.0,0,0,0.0,3,3.0,0,2,2,2.0,0,0,1,0,0,View Bio
45,"Schwartzman, Juniper 45 Schwartzman, Juniper",16,0.0,239,14.9,14,33,0.424,0,0,0.0,16,29,0.552,44,2.8,29,36,65,4.1,14,1,8,4,3,View Bio
12,"Stephens, Reese 12 Stephens, Reese",12,0.0,98,8.2,6,18,0.333,3,7,0.429,0,2,0.0,15,1.3,3,7,10,0.8,7,5,8,8,0,View Bio
13,"Marsh, Grace 13 Marsh, Grace",16,13.0,324,20.3,7,24,0.292,4,15,0.267,0,3,0.0,18,1.1,6,25,31,1.9,11,22,17,6,2,View Bio
24,"Keller, Jenna 24 Keller, Jenna",5,0.0,19,3.8,1,6,0.167,1,5,0.2,0,0,0.0,3,0.6,1,4,5,1.0,1,2,3,0,0,View Bio
20,"Roesler, Emily 20 Roesler, Emily",7,0.0,28,4.0,1,1,1.0,0,0,0.0,0,0,0.0,2,0.3,0,4,4,0.6,3,4,0,4,0,View Bio
05,"Cordes, Eleanor 05 Cordes, Eleanor",1,0.0,3,3.0,0,2,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,View Bio
TM,Team  TM Team,16,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,30,46,76,4.8,0,0,14,0,0,
,Total,16,,3225,201.6,366,922,0.397,112,352,0.318,243,342,0.711,1087,67.94,191,534,725,45.3,217,202,274,113,74,
,Opponents,16,,3225,201.6,340,1016,0.335,105,372,0.282,130,184,0.707,915,57.19,157,403,560,35.0,301,170,227,140,42,
