Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"April 17, 2021 (Saturday)",3:00 PM,Home,Monmouth College,"Grinnell, IA/10th Avenue Courts",,,,"W,9-0",RecapResults
"April 18, 2021 (Sunday)",1:30 PM,Away,Illinois College,"Jacksonville, IL",,,,"W,9-0",RecapResults
"April 20, 2021 (Tuesday)",4:00 PM,Home,Cornell College,"Grinnell, IA/10th Avenue Courts",,,,"W,9-0",RecapResults
"April 24, 2021 (Saturday)",Noon,Away,Monmouth College,"Monmouth, IL",,,,"W,9-0",RecapResults
"April 25, 2021 (Sunday)",1:30 PM,Home,Illinois College,"Grinnell, IA/10th Avenue Courts",,,,"W,9-0",RecapResults
"April 26, 2021 (Monday)",4:00 PM,Away,Cornell College,"Mount Vernon, IA",,,,"W,9-0",Results
"April 28, 2021 (Wednesday)",1:00 p.m.,Home,Illinois College (South Division Semifinal),"Grinnell, IA/10th Avenue Courts",,,Midwest Conference Tournament,"W,9-0",RecapResults
"May 1, 2021 (Saturday)",4:00 PM,Home,Cornell College (South Division Championship),"Grinnell, IA/10th Avenue Courts",,,Midwest Conference Tournament,"W,9-0",RecapResults
"May 7, 2021 (Friday)",12:30 PM,Neutral,Lake Forest College (Championship),"Monmouth, IL",,,Midwest Conference Tournament,"W,5-0",RecapResults
"May 14, 2021 (Friday)",10:00 a.m.,Neutral,Augustana College (IL) (First Round),"St. Louis, MO",,,NCAA Division III  National Tournament,"L,3-5",RecapResults
