Singles,Overall,1,2,3,4,5,6,Streak,Last 10,vs Ranked,vs Ranked
Singles,Overall,1,2,3,4,5,6,Streak,Last 10,Nat'l,Reg'l
"Bostoen, Albert",2-0,1-0,1-0,—,—,—,—,W 2,2-0,0-0,0-0
"Bridgers, Henry",3-0,—,2-0,—,—,1-0,—,W 3,3-0,0-0,0-0
"Chhim, William",2-0,—,—,—,—,—,2-0,W 2,2-0,0-0,0-0
"Cooke, Wilder",3-0,2-0,1-0,—,—,—,—,W 3,3-0,0-0,0-0
"Daniel, Deuce",2-0,1-0,1-0,—,—,—,—,W 2,2-0,0-0,0-0
"Esztergomi, Leo",2-0,2-0,—,—,—,—,—,W 2,2-0,0-0,1-0
"Gilmore, Jonah",1-0,—,—,—,1-0,—,—,W 1,1-0,0-0,0-0
"Kennel, Simon",5-0,—,—,—,3-0,1-0,1-0,W 5,5-0,0-0,0-0
"Klass, Aiden",1-0,—,—,—,—,—,1-0,W 1,1-0,0-0,0-0
"Knoll, Karch",2-0,—,1-0,1-0,—,—,—,W 2,2-0,0-0,0-0
"Rudenberg, Sam",2-0,—,—,—,1-0,1-0,—,W 2,2-0,0-0,0-0
"Shaker-Check, Luka",3-0,—,—,3-0,—,—,—,W 3,3-0,0-0,0-0
"Skidmore, Spencer",1-0,—,—,1-0,—,—,—,W 1,1-0,0-0,0-0
"Willett, Lucas",2-0,—,—,1-0,1-0,—,—,W 2,2-0,0-0,0-0
"Yung, Charles",4-0,—,—,—,—,3-0,1-0,W 4,4-0,0-0,0-0
Total,35-0,6-0,6-0,6-0,6-0,6-0,5-0,—,—,0-0,1-0
Percentage,1.000,1.000,1.000,1.000,1.000,1.000,1.000,—,—,.000,1.000
