Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"September 3, 2011 (Saturday)",1 p.m.,Away,Millikin University,"Decatur, IL",,,,"W,34-30",Game Stats
"September 10, 2011 (Saturday)",1 p.m.,Home,Carroll University,"Jacksonville, IL/England Stadium",,,,"W,34-27",Game Stats
"September 17, 2011 (Saturday)",1 p.m.,Away,Lake Forest College,"Lake Forest, IL",,,,"W,48-35",Game Stats
"September 24, 2011 (Saturday)",1 p.m.,Home,Monmouth College,"Jacksonville, IL/England Stadium",,,,"L,14-55",Game Stats
"October 1, 2011 (Saturday)",1 p.m.,Away,Lawrence University,"Appleton, WI",,,Play for the Cure,"W,54-44",Game Stats
"October 8, 2011 (Saturday)",1 p.m.,Home,St. Norbert College,"Jacksonville, IL/England Stadium",,,Play for the Cure,"W,48-34",Game Stats
"October 15, 2011 (Saturday)",1 p.m.,Away,Knox College,"Galesburg, IL",,,Play for the Cure,"W,46-19",Game Stats
"October 22, 2011 (Saturday)",1 p.m.,Away,Ripon College,"Ripon, WI",,,Play for the Cure,"W,34-33",Game Stats
"October 29, 2011 (Saturday)",1 p.m.,Home,Grinnell College,"Jacksonville, IL/England Stadium",,,Play for the Cure,"W,48-16",Game Stats
"November 5, 2011 (Saturday)",1 p.m.,Home,Beloit College,"Jacksonville, IL/England Stadium",,,,"W,48-27",Game Stats
"November 19, 2011 (Saturday)",11 a.m.,Away,Wabash College,"Crawfordsville, IN",,,,"L,20-38",Game Stats
