Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"October 7, 1899 (Saturday)",,Neutral,Western,,,,"W,40-0",
"October 14, 1899 (Saturday)",,Neutral,Knox,,,,"L,5-6",
"October 19, 1899 (Thursday)",,Home,Simpson,"Grinnell, IA",,,"W,5-0",
"October 21, 1899 (Saturday)",,Away,Northern Iowa,"Cedar Falls, IA",,,"W,12-6",
"October 28, 1899 (Saturday)",,Away,Minnesota,"Minneapolis, N",,,"T,5-5",
"November 4, 1899 (Saturday)",,Neutral,Iowa State,,,,"W,15-0",
"November 11, 1899 (Saturday)",,Away,Iowa,"Iowa City, ""IA",,,"L,0-16",
"November 18, 1899 (Saturday)",,Home,Iowa State,"Grinnell, IA",,,"W,6-0",
"November 25, 1899 (Saturday)",,Neutral,William Penn,,,,"W,23-5",
"November 30, 1899 (Thursday)",,Neutral,Nebraska,"Omaha, NE",,,"W,12-0",
