0,1,2,3,4,5
Grinnell College,318,340,658,82.0,8th
Amy Nguyen,79,80,159,15.0,t-25th
Kavya Keshav,78,85,163,19.0,t-36th
Mary Li,80,86,166,22.0,46th
Vidushi Keni,81,89,170,26.0,t-59th
Sara Meneses,90,wd,90,,
