Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"August 30, 2024 (Friday)",12:00 p.m. CT,Away,Great Lakes Christian College,"Lansing, Mich.",,,"T,1-1",Box ScoreRecap
"September 1, 2024 (Sunday)",1:00 p.m.,Home,Gustavus Adolphus College,"Ripon, Wis./Hopp Stadium",,,"L,0-2",Box ScoreRecap
"September 4, 2024 (Wednesday)",2:00 p.m.,Away,Concordia University Chicago,"River Forest, Ill.",,,"L,0-2",Box ScoreRecap
"September 6, 2024 (Friday)",6:00 p.m.,Away,Marian University,"Fond du Lac, Wis.",,,"L,1-2",Box ScoreRecap
"September 10, 2024 (Tuesday)",7:00 p.m.,Away,Rockford University,"Loves Park, Ill./ Wedgbury Stadium",,,"T,0-0",Box ScoreRecap
"September 14, 2024 (Saturday)",1:00 p.m.,Home,Martin Luther College,"Ripon, Wis./Prairie Field",,,"W,2-0",Box ScoreRecap
"September 15, 2024 (Sunday)",2:00 p.m.,Home,Augustana College (Ill.),"Ripon, Wis./Hopp Stadium",,,"L,1-3",Box ScoreRecap
"September 21, 2024 (Saturday)",2:00 p.m.,Away,Coe College,"Cedar Rapids, Iowa",,,"L,0-1",Box ScoreRecap
"September 22, 2024 (Sunday)",12:00 p.m.,Away,Buena Vista University,"Storm Lake, Iowa",,,"W,2-0",Box ScoreRecap
"September 28, 2024 (Saturday)",1:30 p.m.,Away,Illinois College,"Jacksonville, Ill.",,,"T,1-1",Box ScoreRecap
"October 2, 2024 (Wednesday)",4:30 p.m.,Away,Lake Forest College,"Lake Forest, Ill.",,,"L,0-6",Box ScoreRecap
"October 5, 2024 (Saturday)",1:30 p.m.,Home,Grinnell College,"Ripon, Wis./Hopp Stadium",,,"L,1-2",Box ScoreRecap
"October 12, 2024 (Saturday)",1:30 p.m.,Home,Beloit College,"Ripon, Wis./Hopp Stadium",,,"L,0-1",Box ScoreRecap
"October 15, 2024 (Tuesday)",7:15 p.m.,Home,Maranatha Baptist  University,"Ripon, Wis./Hopp Stadium",,,"W,3-0",Box ScoreRecap
"October 19, 2024 (Saturday)",1:30 p.m.,Away,Cornell College,"Mount Vernon, Iowa",,,"L,0-1",Box ScoreRecap
"October 22, 2024 (Tuesday)",4:00 p.m.,Away,Mount Mary University,"Milwaukee, Wis.",,,"W,4-1",Box ScoreRecap
"October 26, 2024 (Saturday)",1:30 p.m.,Away,Monmouth College,"Monmouth, Ill.",,,"L,2-4",Box ScoreRecap
"October 30, 2024 (Wednesday)",6:30 p.m.,Home,Lawrence University,"Ripon, Wis./Hopp Stadium",,,"L,0-1",Box ScoreRecap
"November 2, 2024 (Saturday)",1:30 p.m.,Home,Knox College,"Ripon, Wis./Hopp Stadium",,,"W,1-0",Box ScoreRecap
