0,1,2,3,4,5
Grinnell College,,,,,
Sam Naik,86.0,84.0,170.0,26.0,t-30th
Cody Takabuki,96.0,94.0,190.0,46.0,42nd
John Zbaracki,99.0,98.0,197.0,53.0,t-44th
