Name,GP,FGM,FGA,FG%,FGM/G,FGA/G
"#11 Lentsch, Griffin",23,202,480,0.421,8.8,20.9
"#13 Yeager, Luke",23,87,209,0.416,3.8,9.1
"#10 Maher, Patrick",23,80,169,0.473,3.5,7.3
"#42 Ney, Jesse",23,71,191,0.372,3.1,8.3
"#25 Chalupa, Matt",23,66,161,0.41,2.9,7.0
"#45 Adams, Jack",23,60,99,0.606,2.6,4.3
"#02 Skelly, Matt",17,47,135,0.348,2.8,7.9
"#24 Bellamy, Dominique",23,45,114,0.395,2.0,5.0
"#04 Nitz, Garrett",19,33,67,0.493,1.7,3.5
"#12 Valdez, Marques",23,33,49,0.673,1.4,2.1
"#33 McManamy, Brian",23,31,59,0.525,1.3,2.6
"#22 Johnson, Evan",23,24,73,0.329,1.0,3.2
"#05 Rogers, Joe",23,24,35,0.686,1.0,1.5
"#03 Strek, Xander",23,22,50,0.44,1.0,2.2
"#15 Bartuch, Dylan",23,14,32,0.438,0.6,1.4
"#44 Zachary, Tague",23,5,25,0.2,0.2,1.1
"#54 Paredes, Santiago",12,3,9,0.333,0.3,0.8
"#35 Olson, Cody",13,1,3,0.333,0.1,0.2
"#21 Pollick, Joel",10,1,5,0.2,0.1,0.5
"#04 Gardner, Hayes",5,0,2,0.0,0.0,0.4
"#23 Walton, Aamir",11,0,1,0.0,0.0,0.1
