Statistic,High,Opponent
POINTS,150,William Penn (11/26/11)
FIELD GOALS MADE,53,William Penn (11/26/11)
FIELD GOAL ATTEMPTS,111,Presentation College (11/25/11)
3 PT FIELD GOALS MADE,29,Knox College (01/31/12)
3 PT FG ATTEMPTS,75,Ripon College (02/03/12)
FREE THROWS MADE,30,Beloit College (01/05/12)
FREE THROW ATTEMPTS,46,Beloit College (01/05/12)
REBOUNDS,50,Carroll University (12/10/11)
ASSISTS,32,Principia College (11/19/11)
STEALS,24,Illinois College (01/10/12); Principia College (11/19/11)
BLOCKED SHOTS,10,Knox College (12/07/11)
TURNOVERS,27,Illinois College (02/11/12)
FOULS,39,Illinois College (02/11/12)
