Statistic,High,Player,Opponent
POINTS,89,Griffin Lentsch,Principia College (11/19/11)
FIELD GOALS MADE,27,Griffin Lentsch,Principia College (11/19/11)
FIELD GOAL ATTEMPTS,55,Griffin Lentsch,Principia College (11/19/11)
3 PT FIELD GOALS MADE,15,Griffin Lentsch,Principia College (11/19/11)
3 PT FG ATTEMPTS,33,Griffin Lentsch,Principia College (11/19/11)
FREE THROWS MADE,20,Griffin Lentsch,Principia College (11/19/11)
FREE THROW ATTEMPTS,22,Griffin Lentsch,Principia College (11/19/11)
REBOUNDS,10,Patrick Maher,Illinois College (02/11/12)
ASSISTS,13,Patrick Maher,Principia College (11/19/11)
STEALS,6,Joe Rogers; Patrick Maher,Beloit College (01/20/12); Principia College (11/19/11)
BLOCKED SHOTS,4,Jack Adams,Wartburg College (11/22/11); Beloit College (01/20/12)
TURNOVERS,7,Patrick Maher; Griffin Lentsch,Wartburg College (11/22/11); Illinois College (02/11/12)
FOULS,5,Dominique Bellamy; Jesse Ney; Marques Valdez; Joe Rogers; Luke Yeager,Lake Forest College (02/18/12); William Penn (11/26/11); Lawrence University (01/13/12); Carroll University (01/14/12); Ripon College (02/03/12); St. Norbert College (02/04/12); Illinois College (02/11/12)
