#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
11,"Lentsch, Griffin 11 Lentsch, Griffin",23,21.0,478,20.8,202,480,0.421,102,300,0.34,96,117,0.821,602,26.2,23,8,31,1.3,17,26,31,11,2,View Bio
13,"Yeager, Luke 13 Yeager, Luke",23,1.0,269,11.7,87,209,0.416,52,139,0.374,21,34,0.618,247,10.7,17,13,30,1.3,39,42,41,20,2,View Bio
10,"Maher, Patrick 10 Maher, Patrick",23,19.0,421,18.3,80,169,0.473,28,76,0.368,55,75,0.733,243,10.6,38,40,78,3.4,44,115,44,39,12,View Bio
42,"Ney, Jesse 42 Ney, Jesse",23,1.0,313,13.6,71,191,0.372,66,171,0.386,18,26,0.692,226,9.8,20,25,45,2.0,42,19,20,15,1,View Bio
02,"Skelly, Matt 02 Skelly, Matt",17,5.0,243,14.3,47,135,0.348,39,108,0.361,21,28,0.75,154,9.1,17,15,32,1.9,20,22,13,19,0,View Bio
25,"Chalupa, Matt 25 Chalupa, Matt",23,5.0,349,15.2,66,161,0.41,51,134,0.381,23,30,0.767,206,9.0,28,20,48,2.1,24,42,14,21,0,View Bio
45,"Adams, Jack 45 Adams, Jack",23,20.0,313,13.6,60,99,0.606,5,20,0.25,27,38,0.711,152,6.6,33,51,84,3.7,58,12,24,17,31,View Bio
24,"Bellamy, Dominique 24 Bellamy, Dominique",23,7.0,316,13.7,45,114,0.395,12,63,0.19,40,62,0.645,142,6.2,27,25,52,2.3,62,18,28,43,5,View Bio
04,"Nitz, Garrett 04 Nitz, Garrett",19,1.0,194,10.2,33,67,0.493,7,27,0.259,34,49,0.694,107,5.6,15,9,24,1.3,34,61,32,16,0,View Bio
33,"McManamy, Brian 33 McManamy, Brian",23,1.0,358,15.6,31,59,0.525,14,32,0.438,25,37,0.676,101,4.4,24,63,87,3.8,43,28,18,15,19,View Bio
12,"Valdez, Marques 12 Valdez, Marques",23,2.0,300,13.0,33,49,0.673,0,1,0.0,20,38,0.526,86,3.7,43,37,80,3.5,65,22,18,32,7,View Bio
03,"Strek, Xander 03 Strek, Xander",23,5.0,214,9.3,22,50,0.44,20,46,0.435,9,15,0.6,73,3.2,11,14,25,1.1,30,11,9,10,0,View Bio
22,"Johnson, Evan 22 Johnson, Evan",23,2.0,185,8.0,24,73,0.329,17,57,0.298,6,9,0.667,71,3.1,15,12,27,1.2,42,10,13,21,0,View Bio
05,"Rogers, Joe 05 Rogers, Joe",23,16.0,301,13.1,24,35,0.686,0,2,0.0,15,26,0.577,63,2.7,50,36,86,3.7,48,25,11,39,2,View Bio
15,"Bartuch, Dylan 15 Bartuch, Dylan",23,1.0,179,7.8,14,32,0.438,4,16,0.25,7,12,0.583,39,1.7,8,10,18,0.8,17,10,7,9,2,View Bio
54,"Paredes, Santiago 54 Paredes, Santiago",12,0.0,18,1.5,3,9,0.333,2,6,0.333,5,6,0.833,13,1.1,3,3,6,0.5,2,1,6,0,0,View Bio
44,"Zachary, Tague 44 Zachary, Tague",23,1.0,127,5.5,5,25,0.2,3,21,0.143,2,4,0.5,15,0.7,6,11,17,0.7,24,2,5,7,10,View Bio
35,"Olson, Cody 35 Olson, Cody",13,1.0,23,1.8,1,3,0.333,1,2,0.5,3,4,0.75,6,0.5,2,3,5,0.4,1,0,2,0,1,View Bio
21,"Pollick, Joel 21 Pollick, Joel",10,0.0,27,2.7,1,5,0.2,0,3,0.0,2,3,0.667,4,0.4,1,5,6,0.6,5,1,2,1,0,View Bio
23,"Walton, Aamir 23 Walton, Aamir",11,1.0,19,1.7,0,1,0.0,0,1,0.0,0,0,0.0,0,0.0,0,2,2,0.2,0,0,0,1,0,View Bio
04,"Gardner, Hayes 04 Gardner, Hayes",5,0.0,3,0.6,0,2,0.0,0,2,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,View Bio
TM,Team  TM Team,23,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,63,43,106,4.6,0,0,4,0,0,
,Total,23,,4650,202.2,849,1968,0.431,423,1227,0.345,429,613,0.7,2550,110.87,444,445,889,38.7,617,467,342,336,94,
,Opponents,23,,4650,202.2,845,1459,0.579,68,173,0.393,504,750,0.672,2262,98.35,310,760,1070,46.5,516,462,623,186,69,
