Name,GP,AST,TO,AST/TO Ratio
"#25 Chalupa, Matt",23,42,14,3.0
"#10 Maher, Patrick",23,115,44,2.61
"#05 Rogers, Joe",23,25,11,2.27
"#15 Bartuch, Dylan",23,10,7,1.43
"#33 McManamy, Brian",23,28,18,1.56
"#04 Nitz, Garrett",19,61,32,1.91
"#02 Skelly, Matt",17,22,13,1.69
"#03 Strek, Xander",23,11,9,1.22
"#12 Valdez, Marques",23,22,18,1.22
"#13 Yeager, Luke",23,42,41,1.02
