Opponent,Date,Score,MAR,FG,FG PCT,3FG,3FG PCT,FT,FT PCT,RB,AST,TO,BLK,STL,PF
Principia College,11/19/11,145-97,48,49-94/32-60,.521/.533,22-53/4-13,.415/.308,25-30/29-49,.833-.592,43/33 10,32/17,21/32,0/2,24/13,31/21
Wartburg College,11/22/11,115-97,18,37-84/35-59,.440/.593,20-52/1-1,.385/1.000,21-30/26-36,.700-.722,37/48 -11,17/13,20/36,8/3,17/6,33/26
Presentation College,11/25/11,126-98,28,42-111/40-75,.378/.533,19-68/0-1,.279/.000,23-31/18-27,.742-.667,46/69 -23,21/24,13/45,7/3,19/10,22/27
William Penn,11/26/11,150-137,13,53-108/55-86,.491/.640,21-62/7-16,.339/.438,23-32/20-35,.719-.571,49/49 0,26/29,15/29,5/0,17/7,27/23
St. Norbert College,12/02/11,108-98,10,34-89/42-69,.382/.609,19-59/1-6,.322/.167,21-29/13-24,.724-.542,36/57 -21,15/22,11/32,7/3,15/4,24/26
Ripon College,12/03/11,125-103,22,42-78/38-75,.538/.507,25-56/9-16,.446/.563,16-20/18-22,.800-.818,33/46 -13,24/19,13/19,2/1,11/12,21/22
Knox College,12/07/11,85-68,17,30-79/27-59,.380/.458,13-47/1-6,.277/.167,12-19/13-21,.632-.619,37/43 -6,15/22,15/26,10/1,20/5,26/18
Carroll University,12/10/11,103-89,14,31-87/36-61,.356/.590,14-48/1-3,.292/.333,27-33/16-28,.818-.571,50/40 10,17/18,15/26,5/7,16/9,24/26
Beloit College,01/05/12,117-107,10,36-61/44-64,.590/.688,15-30/2-3,.500/.667,30-46/17-23,.652-.739,22/37 -15,15/30,15/28,2/1,9/7,26/32
Illinois College,01/10/12,115-113,2,37-93/43-60,.398/.717,19-57/9-16,.333/.563,22-44/18-36,.500-.500,44/51 -7,20/17,15/35,2/5,24/10,28/31
Lawrence University,01/13/12,103-94,9,37-82/35-51,.451/.686,21-59/1-7,.356/.143,8-14/23-35,.571-.657,32/37 -5,27/20,16/26,2/4,12/7,29/21
Carroll University,01/14/12,106-109,-3,37-94/37-59,.394/.627,17-55/0-0,.309/NaN,15-25/35-53,.600-.660,46/51 -5,11/27,12/18,2/3,4/2,37/23
Beloit College,01/20/12,117-84,33,38-76/31-60,.500/.517,19-45/0-3,.422/.000,22-33/22-26,.667-.846,28/49 -21,20/17,5/25,9/3,15/4,26/27
Lawrence University,01/21/12,98-74,24,29-69/27-54,.420/.500,12-39/2-9,.308/.222,28-35/18-26,.800-.692,41/38 3,20/6,14/22,3/2,11/10,21/23
Monmouth College,01/25/12,102-90,12,34-81/35-56,.420/.625,15-48/1-2,.313/.500,19-29/19-26,.655-.731,36/44 -8,16/22,17/35,0/2,13/8,23/21
Lake Forest College,01/28/12,98-92,6,31-68/35-64,.456/.547,16-38/5-12,.421/.417,20-28/17-30,.714-.567,34/42 -8,17/17,13/17,1/5,9/6,25/21
Knox College,01/31/12,128-87,41,39-89/33-62,.438/.532,29-67/7-15,.433/.467,21-27/14-28,.778-.500,45/46 -1,31/18,14/31,3/2,18/7,23/17
Ripon College,02/03/12,96-105,-9,35-97/34-72,.361/.472,21-75/1-3,.280/.333,5-9/36-47,.556-.766,38/59 -21,23/21,15/22,6/3,15/9,35/16
St. Norbert College,02/04/12,96-97,-1,31-67/37-53,.463/.698,21-46/2-4,.457/.500,13-17/21-35,.765-.600,30/31 -1,22/18,16/15,1/2,10/9,29/21
Monmouth College,02/08/12,87-75,12,33-84/30-55,.393/.545,14-50/1-1,.280/1.000,7-9/14-19,.778-.737,40/40 0,23/12,11/24,6/7,15/9,15/10
Illinois College,02/11/12,135-144,-9,46-98/45-77,.469/.584,24-61/8-21,.393/.381,19-33/46-55,.576-.836,41/58 -17,29/32,27/34,2/3,18/17,39/27
Lake Forest College,02/18/12,112-101,11,38-88/39-68,.432/.574,14-50/5-15,.280/.333,22-26/18-25,.846-.720,41/47 -6,15/20,16/27,6/4,15/10,22/21
St. Norbert College,02/24/12,83-103,-20,30-91/35-60,.330/.583,13-62/0-0,.210/NaN,10-14/33-44,.714-.750,40/55 -15,11/21,13/19,5/3,9/5,31/16
