Name,GP,AST,AST/G
"#10 Maher, Patrick",23,115,5.0
"#04 Nitz, Garrett",19,61,3.2
"#25 Chalupa, Matt",23,42,1.8
"#13 Yeager, Luke",23,42,1.8
"#33 McManamy, Brian",23,28,1.2
"#11 Lentsch, Griffin",23,26,1.1
"#05 Rogers, Joe",23,25,1.1
"#02 Skelly, Matt",17,22,1.3
"#12 Valdez, Marques",23,22,1.0
"#42 Ney, Jesse",23,19,0.8
"#24 Bellamy, Dominique",23,18,0.8
"#45 Adams, Jack",23,12,0.5
"#03 Strek, Xander",23,11,0.5
"#15 Bartuch, Dylan",23,10,0.4
"#22 Johnson, Evan",23,10,0.4
"#44 Zachary, Tague",23,2,0.1
"#54 Paredes, Santiago",12,1,0.1
"#21 Pollick, Joel",10,1,0.1
