Name,GP,PF,PF/G
"#12 Valdez, Marques",23,65,2.8
"#24 Bellamy, Dominique",23,62,2.7
"#45 Adams, Jack",23,58,2.5
"#05 Rogers, Joe",23,48,2.1
"#10 Maher, Patrick",23,44,1.9
"#33 McManamy, Brian",23,43,1.9
"#22 Johnson, Evan",23,42,1.8
"#42 Ney, Jesse",23,42,1.8
"#13 Yeager, Luke",23,39,1.7
"#04 Nitz, Garrett",19,34,1.8
"#03 Strek, Xander",23,30,1.3
"#25 Chalupa, Matt",23,24,1.0
"#44 Zachary, Tague",23,24,1.0
"#02 Skelly, Matt",17,20,1.2
"#15 Bartuch, Dylan",23,17,0.7
"#11 Lentsch, Griffin",23,17,0.7
"#21 Pollick, Joel",10,5,0.5
"#54 Paredes, Santiago",12,2,0.2
"#35 Olson, Cody",13,1,0.1
