Name,GP,TO,TO/G
"#10 Maher, Patrick",23,44,1.9
"#13 Yeager, Luke",23,41,1.8
"#04 Nitz, Garrett",19,32,1.7
"#11 Lentsch, Griffin",23,31,1.3
"#24 Bellamy, Dominique",23,28,1.2
"#45 Adams, Jack",23,24,1.0
"#42 Ney, Jesse",23,20,0.9
"#33 McManamy, Brian",23,18,0.8
"#12 Valdez, Marques",23,18,0.8
"#25 Chalupa, Matt",23,14,0.6
"#22 Johnson, Evan",23,13,0.6
"#02 Skelly, Matt",17,13,0.8
"#05 Rogers, Joe",23,11,0.5
"#03 Strek, Xander",23,9,0.4
"#15 Bartuch, Dylan",23,7,0.3
"#54 Paredes, Santiago",12,6,0.5
"#44 Zachary, Tague",23,5,0.2
#TM Team,23,4,0.2
"#35 Olson, Cody",13,2,0.2
"#21 Pollick, Joel",10,2,0.2
