Name,GP,STL,STL/G
"#24 Bellamy, Dominique",23,43,1.9
"#10 Maher, Patrick",23,39,1.7
"#05 Rogers, Joe",23,39,1.7
"#12 Valdez, Marques",23,32,1.4
"#25 Chalupa, Matt",23,21,0.9
"#22 Johnson, Evan",23,21,0.9
"#13 Yeager, Luke",23,20,0.9
"#02 Skelly, Matt",17,19,1.1
"#45 Adams, Jack",23,17,0.7
"#04 Nitz, Garrett",19,16,0.8
"#33 McManamy, Brian",23,15,0.7
"#42 Ney, Jesse",23,15,0.7
"#11 Lentsch, Griffin",23,11,0.5
"#03 Strek, Xander",23,10,0.4
"#15 Bartuch, Dylan",23,9,0.4
"#44 Zachary, Tague",23,7,0.3
"#21 Pollick, Joel",10,1,0.1
"#23 Walton, Aamir",11,1,0.1
