#,Player,GP,GS,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0
#,Player,GP,GS,MIN,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG
11.0,"Lentsch, Griffin 11 Lentsch, Griffin",23,21.0,478,202,480,0.421,102,300,0.34,96,117,0.821,602,26.2
10.0,"Maher, Patrick 10 Maher, Patrick",23,19.0,421,80,169,0.473,28,76,0.368,55,75,0.733,243,10.6
13.0,"Yeager, Luke 13 Yeager, Luke",23,1.0,269,87,209,0.416,52,139,0.374,21,34,0.618,247,10.7
25.0,"Chalupa, Matt 25 Chalupa, Matt",23,5.0,349,66,161,0.41,51,134,0.381,23,30,0.767,206,9.0
2.0,"Skelly, Matt 02 Skelly, Matt",17,5.0,243,47,135,0.348,39,108,0.361,21,28,0.75,154,9.1
42.0,"Ney, Jesse 42 Ney, Jesse",23,1.0,313,71,191,0.372,66,171,0.386,18,26,0.692,226,9.8
45.0,"Adams, Jack 45 Adams, Jack",23,20.0,313,60,99,0.606,5,20,0.25,27,38,0.711,152,6.6
24.0,"Bellamy, Dominique 24 Bellamy, Dominique",23,7.0,316,45,114,0.395,12,63,0.19,40,62,0.645,142,6.2
4.0,"Nitz, Garrett 04 Nitz, Garrett",19,1.0,194,33,67,0.493,7,27,0.259,34,49,0.694,107,5.6
33.0,"McManamy, Brian 33 McManamy, Brian",23,1.0,358,31,59,0.525,14,32,0.438,25,37,0.676,101,4.4
3.0,"Strek, Xander 03 Strek, Xander",23,5.0,214,22,50,0.44,20,46,0.435,9,15,0.6,73,3.2
22.0,"Johnson, Evan 22 Johnson, Evan",23,2.0,185,24,73,0.329,17,57,0.298,6,9,0.667,71,3.1
12.0,"Valdez, Marques 12 Valdez, Marques",23,2.0,300,33,49,0.673,0,1,0.0,20,38,0.526,86,3.7
5.0,"Rogers, Joe 05 Rogers, Joe",23,16.0,301,24,35,0.686,0,2,0.0,15,26,0.577,63,2.7
15.0,"Bartuch, Dylan 15 Bartuch, Dylan",23,1.0,179,14,32,0.438,4,16,0.25,7,12,0.583,39,1.7
54.0,"Paredes, Santiago 54 Paredes, Santiago",12,0.0,18,3,9,0.333,2,6,0.333,5,6,0.833,13,1.1
35.0,"Olson, Cody 35 Olson, Cody",13,1.0,23,1,3,0.333,1,2,0.5,3,4,0.75,6,0.5
23.0,"Walton, Aamir 23 Walton, Aamir",11,1.0,19,0,1,0.0,0,1,0.0,0,0,0.0,0,0.0
44.0,"Zachary, Tague 44 Zachary, Tague",23,1.0,127,5,25,0.2,3,21,0.143,2,4,0.5,15,0.7
4.0,"Gardner, Hayes 04 Gardner, Hayes",5,0.0,3,0,2,0.0,0,2,0.0,0,0,0.0,0,0.0
21.0,"Pollick, Joel 21 Pollick, Joel",10,0.0,27,1,5,0.2,0,3,0.0,2,3,0.667,4,0.4
,Total,23,,4650,849,1968,0.431,423,1227,0.345,429,613,0.7,2550,110.87
,Opponents,23,,4650,845,1459,0.579,68,173,0.393,504,750,0.672,2262,98.35
