Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,PCT.1,FTM/A,PCT.2,OFF,DEF,TOT,AVG,PF,AST,TO,BLK,STL,PTS,AVG.1
at Principia College,11/19/11,145-97,W,49-94,0.521,22-53,0.415,25-30,0.833,21,22,43,43.0,31,32,21,0,24,145,145.0
vs Wartburg College,11/22/11,115-97,W,37-84,0.44,20-52,0.385,21-30,0.7,18,19,37,40.0,33,17,20,8,17,115,130.0
vs Presentation College,11/25/11,126-98,W,42-111,0.378,19-68,0.279,23-31,0.742,27,19,46,42.0,22,21,13,7,19,126,128.7
at William Penn,11/26/11,150-137,W,53-108,0.491,21-62,0.339,23-32,0.719,24,25,49,43.8,27,26,15,5,17,150,134.0
vs St. Norbert College,12/02/11,108-98,W,34-89,0.382,19-59,0.322,21-29,0.724,19,17,36,42.2,24,15,11,7,15,108,128.8
vs Ripon College,12/03/11,125-103,W,42-78,0.538,25-56,0.446,16-20,0.8,13,20,33,40.7,21,24,13,2,11,125,128.2
at Knox College,12/07/11,85-68,W,30-79,0.38,13-47,0.277,12-19,0.632,15,22,37,40.1,26,15,15,10,20,85,122.0
vs Carroll University,12/10/11,103-89,W,31-87,0.356,14-48,0.292,27-33,0.818,27,23,50,41.4,24,17,15,5,16,103,119.6
at Beloit College,01/05/12,117-107,W,36-61,0.59,15-30,0.5,30-46,0.652,9,13,22,39.2,26,15,15,2,9,117,119.3
vs Illinois College,01/10/12,115-113,W,37-93,0.398,19-57,0.333,22-44,0.5,26,18,44,39.7,28,20,15,2,24,115,118.9
at Lawrence University,01/13/12,103-94,W,37-82,0.451,21-59,0.356,8-14,0.571,16,16,32,39.0,29,27,16,2,12,103,117.5
at Carroll University,01/14/12,106-109,L,37-94,0.394,17-55,0.309,15-25,0.6,23,23,46,39.6,37,11,12,2,4,106,116.5
vs Beloit College,01/20/12,117-84,W,38-76,0.5,19-45,0.422,22-33,0.667,11,17,28,38.7,26,20,5,9,15,117,116.5
vs Lawrence University,01/21/12,98-74,W,29-69,0.42,12-39,0.308,28-35,0.8,17,24,41,38.9,21,20,14,3,11,98,115.2
at Monmouth College,01/25/12,102-90,W,34-81,0.42,15-48,0.313,19-29,0.655,22,14,36,38.7,23,16,17,0,13,102,114.3
at Lake Forest College,01/28/12,98-92,W,31-68,0.456,16-38,0.421,20-28,0.714,17,17,34,38.4,25,17,13,1,9,98,113.3
vs Knox College,01/31/12,128-87,W,39-89,0.438,29-67,0.433,21-27,0.778,18,27,45,38.8,23,31,14,3,18,128,114.2
at Ripon College,02/03/12,96-105,L,35-97,0.361,21-75,0.28,5-9,0.556,20,18,38,38.7,35,23,15,6,15,96,113.2
at St. Norbert College,02/04/12,96-97,L,31-67,0.463,21-46,0.457,13-17,0.765,13,17,30,38.3,29,22,16,1,10,96,112.3
vs Monmouth College,02/08/12,87-75,W,33-84,0.393,14-50,0.28,7-9,0.778,25,15,40,38.4,15,23,11,6,15,87,111.0
at Illinois College,02/11/12,135-144,L (2 OT),46-98,0.469,24-61,0.393,19-33,0.576,22,19,41,38.5,39,29,27,2,18,135,112.1
vs Lake Forest College,02/18/12,112-101,W,38-88,0.432,14-50,0.28,22-26,0.846,21,20,41,38.6,22,15,16,6,15,112,112.1
vs St. Norbert College,02/24/12,83-103,L,30-91,0.33,13-62,0.21,10-14,0.714,20,20,40,38.7,31,11,13,5,9,83,110.9
Grinnell College,,-,,849-1968,0.431,423-1227,0.345,429-613,0.7,444,445,889,38.7,617,467,342,94,336,2550,110.9
Opponents,,-,,845-1459,0.579,68-173,0.393,504-750,0.672,310,760,1070,46.5,516,462,623,69,186,2262,98.3
