#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,AST/G,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,AST/G,TO,STL,BLK,Bio Link
11,"Lentsch, Griffin 11 Lentsch, Griffin",18,17.0,366,20.3,141,332,0.425,72,207,0.348,65,81,0.802,419,23.3,13,5,18,1.0,17,23,1.3,25,7,2,View Bio
10,"Maher, Patrick 10 Maher, Patrick",18,15.0,338,18.8,57,122,0.467,21,52,0.404,47,65,0.723,182,10.1,33,33,66,3.7,33,87,4.8,32,25,9,View Bio
25,"Chalupa, Matt 25 Chalupa, Matt",18,5.0,294,16.3,59,139,0.424,46,115,0.4,17,24,0.708,181,10.1,24,17,41,2.3,20,34,1.9,11,18,0,View Bio
13,"Yeager, Luke 13 Yeager, Luke",18,1.0,211,11.7,66,163,0.405,45,115,0.391,14,20,0.7,191,10.6,14,10,24,1.3,27,31,1.7,30,14,0,View Bio
42,"Ney, Jesse 42 Ney, Jesse",18,0.0,251,13.9,60,163,0.368,56,145,0.386,16,24,0.667,192,10.7,17,20,37,2.1,32,14,0.8,17,12,0,View Bio
02,"Skelly, Matt 02 Skelly, Matt",13,4.0,181,13.9,29,87,0.333,24,72,0.333,16,20,0.8,98,7.5,9,12,21,1.6,12,16,1.2,6,15,0,View Bio
45,"Adams, Jack 45 Adams, Jack",18,16.0,247,13.7,43,76,0.566,4,19,0.211,23,31,0.742,113,6.3,26,36,62,3.4,44,10,0.6,20,11,23,View Bio
24,"Bellamy, Dominique 24 Bellamy, Dominique",18,6.0,251,13.9,31,84,0.369,8,46,0.174,33,51,0.647,103,5.7,22,19,41,2.3,52,16,0.9,23,35,4,View Bio
33,"McManamy, Brian 33 McManamy, Brian",18,1.0,280,15.6,28,52,0.538,13,29,0.448,22,33,0.667,91,5.1,17,48,65,3.6,30,22,1.2,12,11,14,View Bio
04,"Nitz, Garrett 04 Nitz, Garrett",14,0.0,154,11.0,24,52,0.462,6,22,0.273,24,36,0.667,78,5.6,12,4,16,1.1,23,45,3.2,23,9,0,View Bio
12,"Valdez, Marques 12 Valdez, Marques",18,0.0,237,13.2,30,44,0.682,0,1,0.0,14,28,0.5,74,4.1,27,30,57,3.2,54,17,0.9,14,23,5,View Bio
05,"Rogers, Joe 05 Rogers, Joe",18,13.0,240,13.3,21,28,0.75,0,1,0.0,13,22,0.591,55,3.1,37,28,65,3.6,41,18,1.0,9,35,2,View Bio
03,"Strek, Xander 03 Strek, Xander",18,3.0,173,9.6,19,40,0.475,17,36,0.472,6,12,0.5,61,3.4,8,10,18,1.0,22,8,0.4,5,7,0,View Bio
22,"Johnson, Evan 22 Johnson, Evan",18,1.0,138,7.7,13,45,0.289,9,35,0.257,1,4,0.25,36,2.0,12,6,18,1.0,32,9,0.5,12,17,0,View Bio
15,"Bartuch, Dylan 15 Bartuch, Dylan",18,1.0,128,7.1,9,23,0.391,2,12,0.167,6,10,0.6,26,1.4,6,7,13,0.7,12,6,0.3,5,6,2,View Bio
54,"Paredes, Santiago 54 Paredes, Santiago",10,0.0,13,1.3,3,6,0.5,2,4,0.5,5,6,0.833,13,1.3,2,3,5,0.5,1,1,0.1,5,0,0,View Bio
35,"Olson, Cody 35 Olson, Cody",11,1.0,18,1.6,0,1,0.0,0,0,0.0,1,2,0.5,1,0.1,0,3,3,0.3,1,0,0.0,2,0,1,View Bio
23,"Walton, Aamir 23 Walton, Aamir",9,1.0,14,1.6,0,1,0.0,0,1,0.0,0,0,0.0,0,0.0,0,2,2,0.2,0,0,0.0,0,0,0,View Bio
04,"Gardner, Hayes 04 Gardner, Hayes",5,0.0,3,0.6,0,2,0.0,0,2,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,View Bio
21,"Pollick, Joel 21 Pollick, Joel",7,0.0,21,3.0,1,5,0.2,0,3,0.0,2,3,0.667,4,0.6,1,5,6,0.9,3,1,0.1,2,1,0,View Bio
TM,Team  TM Team,18,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,49,33,82,4.6,0,0,0.0,3,0,0,
44,"Zachary, Tague 44 Zachary, Tague",18,0.0,92,5.1,4,15,0.267,3,13,0.231,2,4,0.5,13,0.7,5,9,14,0.8,17,2,0.1,4,4,7,View Bio
,Total,18,,3650,202.8,638,1480,0.431,328,930,0.353,327,476,0.687,1931,107.28,334,340,674,37.4,473,360,20.0,260,250,69,
,Opponents,18,,3650,202.8,648,1119,0.579,56,142,0.394,378,559,0.676,1730,96.11,238,578,816,45.3,403,358,19.9,462,145,58,
