Name,GP,FTM,FTA,FT%,FTM/G,FTA/G
"#11 Lentsch, Griffin",23,96,117,0.821,4.2,5.1
"#10 Maher, Patrick",23,55,75,0.733,2.4,3.3
"#24 Bellamy, Dominique",23,40,62,0.645,1.7,2.7
"#04 Nitz, Garrett",19,34,49,0.694,1.8,2.6
"#45 Adams, Jack",23,27,38,0.711,1.2,1.7
"#33 McManamy, Brian",23,25,37,0.676,1.1,1.6
"#25 Chalupa, Matt",23,23,30,0.767,1.0,1.3
"#02 Skelly, Matt",17,21,28,0.75,1.2,1.6
"#13 Yeager, Luke",23,21,34,0.618,0.9,1.5
"#12 Valdez, Marques",23,20,38,0.526,0.9,1.7
"#42 Ney, Jesse",23,18,26,0.692,0.8,1.1
"#05 Rogers, Joe",23,15,26,0.577,0.7,1.1
"#03 Strek, Xander",23,9,15,0.6,0.4,0.7
"#15 Bartuch, Dylan",23,7,12,0.583,0.3,0.5
"#22 Johnson, Evan",23,6,9,0.667,0.3,0.4
"#54 Paredes, Santiago",12,5,6,0.833,0.4,0.5
"#35 Olson, Cody",13,3,4,0.75,0.2,0.3
"#21 Pollick, Joel",10,2,3,0.667,0.2,0.3
"#44 Zachary, Tague",23,2,4,0.5,0.1,0.2
