#,Player,GP,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
#,Player,GP,MIN,FG%,3PT%,FT%,OREB,DREB,REB,AST,STL,BLK,PTS
11.0,"Lentsch, Griffin 11 Lentsch, Griffin",23,20.8,0.421,0.34,0.821,1.0,0.3,1.3,1.1,0.5,0.1,26.2
10.0,"Maher, Patrick 10 Maher, Patrick",23,18.3,0.473,0.368,0.733,1.7,1.7,3.4,5.0,1.7,0.5,10.6
13.0,"Yeager, Luke 13 Yeager, Luke",23,11.7,0.416,0.374,0.618,0.7,0.6,1.3,1.8,0.9,0.1,10.7
25.0,"Chalupa, Matt 25 Chalupa, Matt",23,15.2,0.41,0.381,0.767,1.2,0.9,2.1,1.8,0.9,0.0,9.0
2.0,"Skelly, Matt 02 Skelly, Matt",17,14.3,0.348,0.361,0.75,1.0,0.9,1.9,1.3,1.1,0.0,9.1
42.0,"Ney, Jesse 42 Ney, Jesse",23,13.6,0.372,0.386,0.692,0.9,1.1,2.0,0.8,0.7,0.0,9.8
45.0,"Adams, Jack 45 Adams, Jack",23,13.6,0.606,0.25,0.711,1.4,2.2,3.7,0.5,0.7,1.3,6.6
24.0,"Bellamy, Dominique 24 Bellamy, Dominique",23,13.7,0.395,0.19,0.645,1.2,1.1,2.3,0.8,1.9,0.2,6.2
4.0,"Nitz, Garrett 04 Nitz, Garrett",19,10.2,0.493,0.259,0.694,0.8,0.5,1.3,3.2,0.8,0.0,5.6
33.0,"McManamy, Brian 33 McManamy, Brian",23,15.6,0.525,0.438,0.676,1.0,2.7,3.8,1.2,0.7,0.8,4.4
3.0,"Strek, Xander 03 Strek, Xander",23,9.3,0.44,0.435,0.6,0.5,0.6,1.1,0.5,0.4,0.0,3.2
22.0,"Johnson, Evan 22 Johnson, Evan",23,8.0,0.329,0.298,0.667,0.7,0.5,1.2,0.4,0.9,0.0,3.1
12.0,"Valdez, Marques 12 Valdez, Marques",23,13.0,0.673,0.0,0.526,1.9,1.6,3.5,1.0,1.4,0.3,3.7
5.0,"Rogers, Joe 05 Rogers, Joe",23,13.1,0.686,0.0,0.577,2.2,1.6,3.7,1.1,1.7,0.1,2.7
15.0,"Bartuch, Dylan 15 Bartuch, Dylan",23,7.8,0.438,0.25,0.583,0.3,0.4,0.8,0.4,0.4,0.1,1.7
54.0,"Paredes, Santiago 54 Paredes, Santiago",12,1.5,0.333,0.333,0.833,0.3,0.3,0.5,0.1,0.0,0.0,1.1
35.0,"Olson, Cody 35 Olson, Cody",13,1.8,0.333,0.5,0.75,0.2,0.2,0.4,0.0,0.0,0.1,0.5
23.0,"Walton, Aamir 23 Walton, Aamir",11,1.7,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.1,0.0,0.0
44.0,"Zachary, Tague 44 Zachary, Tague",23,5.5,0.2,0.143,0.5,0.3,0.5,0.7,0.1,0.3,0.4,0.7
4.0,"Gardner, Hayes 04 Gardner, Hayes",5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,"Pollick, Joel 21 Pollick, Joel",10,2.7,0.2,0.0,0.667,0.1,0.5,0.6,0.1,0.1,0.0,0.4
,Total,23,202.2,0.431,0.345,0.7,19.3,19.3,38.7,20.3,14.6,4.1,110.87
,Opponents,23,202.2,0.579,0.393,0.672,13.5,33.0,46.5,20.1,8.1,3.0,98.35
