Name,GP,3PM,3PA,3P%,3PM/G,3PA/G
"#11 Lentsch, Griffin",23,102,300,0.34,4.4,13.0
"#42 Ney, Jesse",23,66,171,0.386,2.9,7.4
"#13 Yeager, Luke",23,52,139,0.374,2.3,6.0
"#25 Chalupa, Matt",23,51,134,0.381,2.2,5.8
"#02 Skelly, Matt",17,39,108,0.361,2.3,6.4
"#10 Maher, Patrick",23,28,76,0.368,1.2,3.3
"#03 Strek, Xander",23,20,46,0.435,0.9,2.0
"#22 Johnson, Evan",23,17,57,0.298,0.7,2.5
"#33 McManamy, Brian",23,14,32,0.438,0.6,1.4
"#24 Bellamy, Dominique",23,12,63,0.19,0.5,2.7
"#04 Nitz, Garrett",19,7,27,0.259,0.4,1.4
"#45 Adams, Jack",23,5,20,0.25,0.2,0.9
"#15 Bartuch, Dylan",23,4,16,0.25,0.2,0.7
"#44 Zachary, Tague",23,3,21,0.143,0.1,0.9
"#54 Paredes, Santiago",12,2,6,0.333,0.2,0.5
"#35 Olson, Cody",13,1,2,0.5,0.1,0.2
"#04 Gardner, Hayes",5,0,2,0.0,0.0,0.4
"#21 Pollick, Joel",10,0,3,0.0,0.0,0.3
"#05 Rogers, Joe",23,0,2,0.0,0.0,0.1
"#12 Valdez, Marques",23,0,1,0.0,0.0,0.0
"#23 Walton, Aamir",11,0,1,0.0,0.0,0.1
