Name,GP,BLK,BLK/G
"#45 Adams, Jack",23,31,1.3
"#33 McManamy, Brian",23,19,0.8
"#10 Maher, Patrick",23,12,0.5
"#44 Zachary, Tague",23,10,0.4
"#12 Valdez, Marques",23,7,0.3
"#24 Bellamy, Dominique",23,5,0.2
"#15 Bartuch, Dylan",23,2,0.1
"#11 Lentsch, Griffin",23,2,0.1
"#05 Rogers, Joe",23,2,0.1
"#13 Yeager, Luke",23,2,0.1
"#42 Ney, Jesse",23,1,0.0
"#35 Olson, Cody",13,1,0.1
