Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"November 16, 2012 (Friday)",6:00 p.m.,Neutral,Rockford College (Semifinal),"Waverly, IA",,,Wartburg Tournament,"W,130-101",Box ScoreRecap
"November 17, 2012 (Saturday)",4:00 p.m.,Neutral,Crown (Championship),"Waverly, IA",,,Wartburg Tournament,"W,111-100",Box ScoreRecap
"November 20, 2012 (Tuesday)",7:00 p.m.,Home,Faith Baptist,"Grinnell, IA/Darby Gymnasium",,,,"W,179-104",Box ScoreRecap
"November 25, 2012 (Sunday)",4:00 p.m.,Home,William Penn University (Iowa),"Grinnell, IA/Darby Gymnasium",,,,"L,116-131",Box ScoreRecap
"November 28, 2012 (Wednesday)",7:00 p.m.,Away,Knox College,"Galesburg, IL",,,,"W,113-76",Box ScoreRecap
"December 1, 2012 (Saturday)",3:00 p.m.,Home,Ripon College,"Grinnell, IA/Darby Gymnasium",,,,"W,134-97",Box ScoreRecap
"December 4, 2012 (Tuesday)",7:00 p.m.,Away,Monmouth College,"Monmouth, IL",,,,"W,107-99",Box ScoreRecap
"December 8, 2012 (Saturday)",3:00 p.m.,Away,St. Norbert College,De Pere. WI,,,,"W,105-94",Box ScoreRecap
"December 11, 2012 (Tuesday)",7:00 p.m.,Home,Illinois College,"Grinnell, IA/Darby Gymnasium",,,,"L,114-123",Box ScoreRecap
"January 2, 2013 (Wednesday)",7:00 p.m.,Home,Beloit College,"Grinnell, IA/Darby Gymnasium",,,,"W,128-86",Box ScoreRecap
"January 5, 2013 (Saturday)",3:00 p.m.,Away,Carroll University,"Waukesha, Wi",,,,"L,110-119",Box ScoreRecap
"January 9, 2013 (Wednesday)",7:00 p.m.,Away,Cornell College,"Mount Vernon, IA",,,,"W,119-117",Box ScoreRecap
"January 12, 2013 (Saturday)",3:00 p.m.,Home,Lawrence University,"Grinnell, IA/Darby Gymnasium",,,,"W,90-74",Box ScoreRecap
"January 15, 2013 (Tuesday)",7:00 p.m.,Away,Illinois College,"Jacksonville, IL",,,,"W,106-102",Box ScoreRecap
"January 19, 2013 (Saturday)",3:00 p.m.,Away,Ripon College,"Ripon, WI",,,,"L,93-103",Box ScoreRecap
"January 23, 2013 (Wednesday)",7:00 p.m.,Home,Monmouth College,"Grinnell, IA/Darby Gymnasium",,,,"W,93-67",Box ScoreRecap
"January 26, 2013 (Saturday)",3:00 p.m.,Home,Lake Forest College,"Grinnell, IA/Darby Gymnasium",,,,"W,100-62",Box ScoreRecap
"January 29, 2013 (Tuesday)",5:00 p.m.,Home,Knox College,"Grinnell, IA/Darby Gymnasium",,,,"W,136-65",Box ScoreRecap
"February 2, 2013 (Saturday)",3:00 p.m.,Away,Beloit College,"Beloit, WI",,,,"W,102-98",Box ScoreRecap
"February 9, 2013 (Saturday)",3:00 p.m.,Home,St. Norbert College,"Grinnell, IA/Darby Gymnasium",,,,"W,104-99",Box ScoreRecap
"February 12, 2013 (Tuesday)",7:30 p.m.,Home,Cornell College,"Grinnell, IA/Darby Gymnasium",,,,"W,99-90",Box ScoreRecap
"February 16, 2013 (Saturday)",3:00 p.m.,Away,Lawrence University,"Appleton, WI",,,,"L,106-114",Box ScoreRecap
"February 22, 2013 (Friday)",5 p.m.,Neutral,Carroll University,"De Pere, WI",,,Midwest Conference Tournament,"L,89-92",Box ScoreRecap
