Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Rockwell, Aiyana",JR-3,38.64m,"126' 9""",Midwest Conference Outdoor Championships,"May 10, 2024"
,"Rockwell, Aiyana",JR-3,38.48m,"126' 3""",Midwest Conference Outdoor Championships,"May 10, 2024"
,"Rockwell, Aiyana",JR-3,38.04m,"124' 10""",2024 Carnegie Mellon Track & Field Invitational,"Mar 29, 2024"
,"Rockwell, Aiyana",JR-3,37.99m,"124' 8""",Cornell Invitational,"Apr 6, 2024"
,"Rockwell, Aiyana",JR-3,37.68m,"123' 7""",2024 Kip Janvrin Open,"Apr 25, 2024"
,"Rockwell, Aiyana",JR-3,37.24m,"122' 2""",2024 Carnegie Mellon Track & Field Invitational,"Mar 29, 2024"
,"Rockwell, Aiyana",JR-3,37.19m,"122' 0""",Midwest Conference Outdoor Championships,"May 10, 2024"
,"Rockwell, Aiyana",JR-3,36.97m,"121' 3""",Cornell Invitational,"Apr 6, 2024"
,"Rockwell, Aiyana",JR-3,36.89m,"121' 0""",Cornell Invitational,"Apr 6, 2024"
,"Rockwell, Aiyana",JR-3,36.84m,"120' 10""",2024 Kip Janvrin Open,"Apr 25, 2024"
,"Rockwell, Aiyana",JR-3,36.63m,"120' 2""",Monmouth College Fighting Scots Invite,"May 4, 2024"
,"Rockwell, Aiyana",JR-3,36.58m,"120' 0""",Monmouth College Fighting Scots Invite,"May 4, 2024"
,"Rockwell, Aiyana",JR-3,36.51m,"119' 9""",Monmouth College Fighting Scots Invite,"May 4, 2024"
,"Rockwell, Aiyana",JR-3,36.34m,"119' 3""",Midwest Conference Outdoor Championships,"May 10, 2024"
,"Galowitz, Kylie",SO-2,36.07m,"118' 4""",Midwest Conference Outdoor Championships,"May 10, 2024"
,"Rockwell, Aiyana",JR-3,35.94m,"117' 11""",Monmouth College Fighting Scots Invite,"May 4, 2024"
,"Rockwell, Aiyana",JR-3,35.87m,"117' 8""",Grinnell College Dick Young Classic,"Apr 20, 2024"
,"Rockwell, Aiyana",JR-3,35.67m,"117' 0""",Cornell Invitational,"Apr 6, 2024"
,"Rockwell, Aiyana",JR-3,35.24m,"115' 7""",Grinnell College Dick Young Classic,"Apr 20, 2024"
