Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Schwartzman, Juniper",FR-1,37.88m,"124' 3""",Grinnell College Dick Young Classic,"Apr 20, 2024"
,"Schwartzman, Juniper",FR-1,33.38m,"109' 6""",Monmouth College Fighting Scots Invite,"May 4, 2024"
,"Kowal, Wiktoria",FR-1,32.63m,"107' 1""",Cornell Invitational,"Apr 6, 2024"
,"Schwartzman, Juniper",FR-1,32.17m,"105' 6""",Monmouth College Fighting Scots Invite,"May 4, 2024"
,"Kowal, Wiktoria",FR-1,31.11m,"102' 1""",Cornell Invitational,"Apr 6, 2024"
,"Schwartzman, Juniper",FR-1,31.10m,"102' 0""",Monmouth College Fighting Scots Invite,"May 4, 2024"
,"Kowal, Wiktoria",FR-1,31.08m,"102' 0""",2024 Kip Janvrin Open,"Apr 25, 2024"
,"Kowal, Wiktoria",FR-1,31.02m,"101' 9""",Monmouth College Fighting Scots Invite,"May 4, 2024"
,"Kowal, Wiktoria",FR-1,30.95m,"101' 6""",Grinnell College Dick Young Classic,"Apr 20, 2024"
,"Kowal, Wiktoria",FR-1,30.36m,"99' 7""",Grinnell College Dick Young Classic,"Apr 20, 2024"
,"Kowal, Wiktoria",FR-1,30.12m,"98' 10""",2024 Kip Janvrin Open,"Apr 25, 2024"
,"Kowal, Wiktoria",FR-1,30.00m,"98' 5""",2024 Kip Janvrin Open,"Apr 25, 2024"
,"Schwartzman, Juniper",FR-1,29.96m,"98' 3""",Cornell Invitational,"Apr 6, 2024"
,"Schwartzman, Juniper",FR-1,29.61m,"97' 2""",Monmouth College Fighting Scots Invite,"May 4, 2024"
,"Kowal, Wiktoria",FR-1,29.60m,"97' 1""",Monmouth College Fighting Scots Invite,"May 4, 2024"
,"Kowal, Wiktoria",FR-1,29.51m,"96' 10""",Monmouth College Fighting Scots Invite,"May 4, 2024"
,"Kowal, Wiktoria",FR-1,29.44m,"96' 7""",2024 Kip Janvrin Open,"Apr 25, 2024"
,"Kowal, Wiktoria",FR-1,29.36m,"96' 4""",2024 Kip Janvrin Open,"Apr 25, 2024"
,"Schwartzman, Juniper",FR-1,29.17m,"95' 8""",Grinnell College Dick Young Classic,"Apr 20, 2024"
,"Kowal, Wiktoria",FR-1,29.03m,"95' 3""",Grinnell College Dick Young Classic,"Apr 20, 2024"
,"Schwartzman, Juniper",FR-1,29.00m,"95' 2""",Grinnell College Dick Young Classic,"Apr 20, 2024"
,"Kowal, Wiktoria",FR-1,28.81m,"94' 6""",Cornell Invitational,"Apr 6, 2024"
,"Kowal, Wiktoria",FR-1,28.53m,"93' 7""",Monmouth College Fighting Scots Invite,"May 4, 2024"
,"Schwartzman, Juniper",FR-1,28.44m,"93' 4""",2024 Kip Janvrin Open,"Apr 25, 2024"
,"Kowal, Wiktoria",FR-1,28.36m,"93' 0""",Monmouth College Fighting Scots Invite,"May 4, 2024"
,"Kowal, Wiktoria",FR-1,28.31m,"92' 10""",Cornell Invitational,"Apr 6, 2024"
,"Schwartzman, Juniper",FR-1,27.91m,"91' 7""",Monmouth College Fighting Scots Invite,"May 4, 2024"
,"Schwartzman, Juniper",FR-1,27.38m,"89' 10""",2024 Kip Janvrin Open,"Apr 25, 2024"
,"Kowal, Wiktoria",FR-1,27.28m,"89' 6""",Cornell Invitational,"Apr 6, 2024"
,"Kowal, Wiktoria",FR-1,27.24m,"89' 4""",Grinnell College Dick Young Classic,"Apr 20, 2024"
,"Schwartzman, Juniper",FR-1,26.79m,"87' 11""",Grinnell College Dick Young Classic,"Apr 20, 2024"
,"Kowal, Wiktoria",FR-1,26.27m,"86' 2""",Monmouth College Fighting Scots Invite,"May 4, 2024"
,"Schwartzman, Juniper",FR-1,24.85m,"81' 6""",Grinnell College Dick Young Classic,"Apr 20, 2024"
,"Schwartzman, Juniper",FR-1,24.27m,"79' 7""",Cornell Invitational,"Apr 6, 2024"
