Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Galowitz, Kylie",SO-2,41.90m,"137' 6""",Midwest Conference Outdoor Championships,"May 10, 2024"
,"Galowitz, Kylie",SO-2,41.35m,"135' 8""",Midwest Conference Outdoor Championships,"May 10, 2024"
,"Galowitz, Kylie",SO-2,40.85m,"134' 0""",2024 Kip Janvrin Open,"Apr 25, 2024"
,"Galowitz, Kylie",SO-2,40.34m,"132' 4""",Grinnell College Dick Young Classic,"Apr 20, 2024"
,"Strovers, Maddy",SO-2,39.68m,"130' 2""",Grinnell College Dick Young Classic,"Apr 20, 2024"
,"Galowitz, Kylie",SO-2,39.55m,"129' 9""",Grinnell College Dick Young Classic,"Apr 20, 2024"
,"Galowitz, Kylie",SO-2,39.41m,"129' 3""",Midwest Conference Outdoor Championships,"May 10, 2024"
,"Galowitz, Kylie",SO-2,38.69m,"126' 11""",2024 Kip Janvrin Open,"Apr 25, 2024"
,"Galowitz, Kylie",SO-2,38.36m,"125' 10""",Grinnell College Dick Young Classic,"Apr 20, 2024"
,"Galowitz, Kylie",SO-2,38.28m,"125' 7""",Midwest Conference Outdoor Championships,"May 10, 2024"
,"Galowitz, Kylie",SO-2,37.87m,"124' 3""",16th Annual PLNU Track and Field Invitational,"Mar 23, 2024"
,"Galowitz, Kylie",SO-2,37.84m,"124' 2""",Grinnell College Dick Young Classic,"Apr 20, 2024"
,"Strovers, Maddy",SO-2,37.81m,"124' 0""",Monmouth College Fighting Scots Invite,"May 4, 2024"
,"Galowitz, Kylie",SO-2,37.49m,"123' 0""",Cornell Invitational,"Apr 6, 2024"
,"Galowitz, Kylie",SO-2,36.85m,"120' 11""",16th Annual PLNU Track and Field Invitational,"Mar 23, 2024"
,"Strovers, Maddy",SO-2,36.48m,"119' 8""",Grinnell College Dick Young Classic,"Apr 20, 2024"
,"Strovers, Maddy",SO-2,36.07m,"118' 4""",2024 Kip Janvrin Open,"Apr 25, 2024"
,"Strovers, Maddy",SO-2,35.89m,"117' 9""",Midwest Conference Outdoor Championships,"May 10, 2024"
,"Strovers, Maddy",SO-2,35.75m,"117' 3""",Monmouth College Fighting Scots Invite,"May 4, 2024"
,"Strovers, Maddy",SO-2,35.70m,"117' 1""",Midwest Conference Outdoor Championships,"May 10, 2024"
,"Strovers, Maddy",SO-2,35.47m,"116' 4""",Midwest Conference Outdoor Championships,"May 10, 2024"
,"Galowitz, Kylie",SO-2,35.45m,"116' 4""",Midwest Conference Outdoor Championships,"May 10, 2024"
,"Strovers, Maddy",SO-2,35.44m,"116' 3""",Cornell Invitational,"Apr 6, 2024"
,"Strovers, Maddy",SO-2,34.77m,"114' 1""",2024 Kip Janvrin Open,"Apr 25, 2024"
,"Strovers, Maddy",SO-2,34.12m,"111' 11""",16th Annual PLNU Track and Field Invitational,"Mar 23, 2024"
,"Strovers, Maddy",SO-2,33.83m,"111' 0""",Cornell Invitational,"Apr 6, 2024"
,"Strovers, Maddy",SO-2,33.10m,"108' 7""",16th Annual PLNU Track and Field Invitational,"Mar 23, 2024"
,"Strovers, Maddy",SO-2,32.72m,"107' 4""",Monmouth College Fighting Scots Invite,"May 4, 2024"
,"Galowitz, Kylie",SO-2,25.74m,"84' 5""",16th Annual PLNU Track and Field Invitational,"Mar 23, 2024"
