Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date,Wind
,"Leonard, Millie",FR-1,4.55m,"14' 11.25""",Grinnell College Dick Young Classic,"Apr 20, 2024",1.7
,"Vollmayr-Lee, Mira",SO-2,4.46m,"14' 7.75""",Grinnell College Dick Young Classic,"Apr 20, 2024",1.2
,"Leonard, Millie",FR-1,4.44m,"14' 7""",Grinnell College Dick Young Classic,"Apr 20, 2024",0.0
,"Leonard, Millie",FR-1,4.42m,"14' 6""",Grinnell College Dick Young Classic,"Apr 20, 2024",1.3
,"Leonard, Millie",FR-1,4.36m,"14' 3.75""",2024 Kip Janvrin Open,"Apr 25, 2024",1.8
,"Leonard, Millie",FR-1,4.26m,"13' 11.75""",Grinnell College Dick Young Classic,"Apr 20, 2024",1.5
,"Leonard, Millie",FR-1,4.20m,"13' 9.5""",2024 Kip Janvrin Open,"Apr 25, 2024",1.4
,"Vollmayr-Lee, Mira",SO-2,4.14m,"13' 7""",2024 Kip Janvrin Open,"Apr 25, 2024",1.9
,"Leonard, Millie",FR-1,4.09m,"13' 5""",Grinnell College Dick Young Classic,"Apr 20, 2024",1.2
,"Vollmayr-Lee, Mira",SO-2,4.05m,"13' 3.5""",2024 Kip Janvrin Open,"Apr 25, 2024",1.9
,"Vollmayr-Lee, Mira",SO-2,3.90m,"12' 9.5""",Grinnell College Dick Young Classic,"Apr 20, 2024",1.8
,"Vollmayr-Lee, Mira",SO-2,3.84m,"12' 7.25""",Cornell Invitational,"Apr 6, 2024",0.8
,"Vollmayr-Lee, Mira",SO-2,3.73m,"12' 3""",Grinnell College Dick Young Classic,"Apr 20, 2024",1.2
,"Vollmayr-Lee, Mira",SO-2,2.85m,"9' 4.25""",Cornell Invitational,"Apr 6, 2024",0.0
