Date,Opponent,Result,Score,Record,Duration,Attendance
9/3/2016,vs St. Olaf,L,14-69,0-1,2:52,701
9/10/2016,vs Trinity Bible Coll.,L,21-27,0-2,2:39,421
9/17/2016,vs Beloit College,L,17-72,"0-3 , 0-1",2:40,621
9/24/2016,at Macalester,L,0-34,"0-4 , 0-2",2:45,323
10/1/2016,at Illinois College,L,14-50,"0-5 , 0-3",2:50,1460
10/8/2016,vs Knox College,L,6-37,"0-6 , 0-4",2:40,529
10/15/2016,at Monmouth College,L,0-63,"0-7 , 0-5",2:07,750
10/29/2016,at Lawrence University,L,7-53,"0-8 , 0-6",2:41,1016
11/5/2016,vs Lake Forest College,L,13-53,"0-9 , 0-7",2:28,602
11/12/2016,vs Cornell College,L,20-52,"0-10 , 0-8",2:55,704
,,,,,,7127
