#,Player,TD,FG,SAF,Points After Touchdown,Points After Touchdown,Points After Touchdown,Points After Touchdown,Points After Touchdown,PTS,Bio Link
#,Player,TD,FG,SAF,KICK,RUSH,RCV,PASS,DXP,PTS,Bio Link
6.0,"Bernholtz, Jacob 6 Bernholtz, Jacob",4,0,0,0-0,0-0,0,0-0,0,24,View Bio
80.0,"Taylor, David 80 Taylor, David",4,0,0,0-0,0-0,0,0-0,0,24,View Bio
17.0,"Dunn, Carson 17 Dunn, Carson",3,0,0,0-0,0-0,0,0-0,0,18,View Bio
35.0,"Ogasawara, Ibuki 35 Ogasawara, Ibuki",0,1,0,13-14,0-0,0,0-0,0,16,View Bio
2.0,"McGriff, Zach 2 McGriff, Zach",2,0,0,0-0,0-0,0,0-1,0,12,View Bio
5.0,"Bergida, Tony 5 Bergida, Tony",1,0,0,0-0,0-0,0,0-1,0,6,View Bio
88.0,"Henderson, Erik 88 Henderson, Erik",1,0,0,0-0,0-0,0,0-0,0,6,View Bio
13.0,"Scott, Chip 13 Scott, Chip",1,0,0,0-0,0-0,0,0-0,0,6,View Bio
,Total,16,1,0,13-14,0-0,0,0-2,0,112,
,Opponents,72,5,1,59-66,1-2,0,0-3,0,510,
