Date,Opponent,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Field Goals,Field Goals,Field Goals,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Kickoffs
Date,Opponent,TOT,YDS,AVG,Long,BLKD,TB,FC,50+,IN20,FGM-FGA,Long,BLKD,TOT,YDS,AVG,TB,OB
9/3/2016,Grinnell College,4,146,36.5,46,0,0,0,0,1,0-0,,0,11,595,54.09,2,0
9/10/2016,Grinnell College,6,198,33.0,43,0,0,0,0,1,0-0,,0,5,233,46.6,0,0
9/17/2016,Grinnell College,1,60,60.0,60,0,0,0,1,0,1-1,40.0,0,10,549,54.9,0,0
9/24/2016,Grinnell,5,208,41.6,51,0,0,1,1,4,0-0,,0,6,363,60.5,3,2
10/1/2016,Grinnell College,3,100,33.3,42,0,0,1,0,1,2-4,26.0,0,8,433,54.13,0,0
10/8/2016,Grinnell College,3,100,33.3,39,0,0,0,0,0,1-1,33.0,0,7,351,50.14,0,0
10/15/2016,Grinnell College,1,33,33.0,33,0,1,0,0,0,0-0,,0,10,562,56.2,6,0
10/29/2016,Grinnell College,1,44,44.0,44,0,1,0,0,0,0-0,,0,9,543,60.33,0,1
11/5/2016,Grinnell College,4,118,29.5,39,0,0,0,0,0,0-0,,0,9,527,58.56,2,1
11/12/2016,Grinnell College,4,152,38.0,47,0,1,1,0,2,1-1,43.0,0,9,522,58.0,3,2
