Date,Opponent,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Date,Opponent,ATT,YDS,TD,Long,ATT,YDS,TD,Long,YDS,TD,Long,ATT,YDS,TD,Long,ATT,YDS,TD,Long
9/3/2016,Grinnell College,33,209,3,25,20,341,6,63,341,6,63,3,58,0,21,3,28,0,15
9/10/2016,Grinnell College,41,234,3,60,11,88,1,31,88,1,31,4,76,0,27,0,0,0,0
9/17/2016,Grinnell College,37,319,5,60,17,406,5,64,406,5,64,3,48,0,22,1,15,0,15
9/24/2016,Grinnell,33,173,2,64,22,368,3,59,368,3,59,1,16,0,16,5,86,0,33
10/1/2016,Grinnell College,36,257,3,32,25,396,2,51,396,2,51,4,92,0,29,2,19,0,13
10/8/2016,Grinnell College,57,246,5,46,19,162,0,23,162,0,23,2,24,0,13,3,62,0,31
10/15/2016,Grinnell College,29,302,4,80,10,274,5,62,274,5,62,1,50,0,50,0,0,0,0
10/29/2016,Grinnell College,39,442,5,80,7,180,3,74,180,3,74,2,26,0,23,2,6,0,13
11/5/2016,Grinnell College,34,205,2,54,15,277,4,77,277,4,77,3,57,0,26,1,59,1,59
11/12/2016,Grinnell College,44,241,2,40,22,430,5,70,430,5,70,4,89,0,30,3,26,0,14
