Date,Opponent,Tackles,Tackles,Tackles,Tackles,Tackles,Sacks,Sacks,Fumble,Fumble,Fumble,INT,INT,QBH,Pass Brup,Blkd Kick,SAF
Date,Opponent,Solo,AST,TOT,TFL,YDS,TOT,YDS,FF,FR,YDS,TOT,YDS,QBH,Pass Brup,Blkd Kick,SAF
9/3/2016,Grinnell College,22,80,102,13.0,50,3.0,20,2,0,0,1,80,0,2,1,0
9/10/2016,Grinnell College,23,70,93,8.0,22,2.0,10,0,1,0,0,0,0,4,0,0
9/17/2016,Grinnell College,19,86,105,8.0,19,0.0,0,0,1,0,1,0,0,6,0,0
9/24/2016,Grinnell,42,30,72,7.0,31,2.0,15,0,0,0,0,0,5,9,0,0
10/1/2016,Grinnell College,28,64,92,11.0,37,5.0,27,1,1,0,3,47,0,2,0,1
10/8/2016,Grinnell College,14,50,64,5.0,19,3.0,16,3,3,0,2,45,0,5,2,0
10/15/2016,Grinnell College,20,46,66,3.0,18,1.0,1,1,2,0,0,0,0,1,0,0
10/29/2016,Grinnell College,38,66,104,8.0,23,2.0,7,0,0,0,2,7,0,3,0,0
11/5/2016,Grinnell College,34,40,74,7.0,24,3.0,16,2,3,0,1,2,0,3,0,0
11/12/2016,Grinnell College,21,58,79,11.0,53,1.0,1,0,0,0,3,21,0,6,0,0
