#,Player,NO,YDS,AVG,Long,TB,FC,I20,50+,BLK,Bio Link
16.0,"Hoover, Kent 16 Hoover, Kent",59,2068,35.05,69,3,7,7,4,0,View Bio
80.0,"Taylor, David 80 Taylor, David",3,96,32.0,32,0,0,0,0,0,View Bio
5.0,"Bergida, Tony 5 Bergida, Tony",1,22,22.0,22,0,0,0,0,0,View Bio
,Total,63,2186,34.7,69,3,7,7,4,0,
,Opponents,32,1159,36.22,60,3,3,9,2,0,
