Stat,Value,Player/Opponent
Rushes,57,vs Lawrence University (10/29/2016)
Yards Rushing,219,vs Trinity Bible Coll. (9/10/2016)
TD Rushes,3,vs Trinity Bible Coll. (9/10/2016)
Pass Attempts,39,vs Cornell College (11/12/2016)
Pass Completions,19,vs Beloit College (9/17/2016)
Yards Passing,302,vs Beloit College (9/17/2016)
TD Passes,3,vs Cornell College (11/12/2016)
