Stat,Value,Player/Opponent
Rushes,57,vs Knox College (10/8/2016)
Yards Rushing,442,vs Lawrence University (10/29/2016)
TD Rushes,5,vs Beloit College (9/17/2016)
Pass Attempts,38,vs Cornell College (11/12/2016)
Pass Completions,25,vs Illinois College (10/1/2016)
Yards Passing,430,vs Cornell College (11/12/2016)
TD Passes,6,vs St. Olaf (9/3/2016)
