#,Player,NO,YDS,AVG,TD,Long,Bio Link
26.0,"Lim, Ben 26 Lim, Ben",6,28,4.67,0,9,View Bio
17.0,"Dunn, Carson 17 Dunn, Carson",2,5,2.5,0,4,View Bio
1.0,"Hill, Max 1 Hill, Max",1,0,0.0,0,0,View Bio
,Total,9,33,3.67,0,9,
,Opponents,20,301,15.05,1,59,
