Opponent,Score,First Downs,First Downs,First Downs,First Downs,Rushing,Passing,Passing,Plays-Yards,Return Yards,Turnovers
Opponent,Score,Total,Rush,Pass,Pen,Att-Yards,Comp-Att-Int,Yards,Plays-Yards,Return Yards,Turnovers
St. Olaf,69-14,15/22,6/11,6/10,3/1,42-107 / 33-209,12-27-1 / 20-31-0,120/341,69-227 / 64-550,151/166,1/0
Trinity Bible Coll.,27-21,19/17,11/11,8/5,0/1,46-219 / 41-234,9-26-0 / 11-20-0,163/88,72-382 / 61-322,108/76,1/0
Beloit College,72-17,21/25,8/9,12/15,1/1,40-211 / 37-319,19-34-1 / 17-22-0,302/406,74-513 / 59-725,158/63,2/0
Macalester,0-34,14/19,8/5,5/12,1/2,42-127 / 33-173,13-37-0 / 22-36-1,125/368,79-252 / 69-541,8/102,0/2
Illinois College,14-50,20/26,11/10,7/16,2/0,40-135 / 36-257,17-35-3 / 25-35-0,142/396,75-277 / 71-653,167/158,4/1
Knox College,37-6,6/23,1/13,3/7,2/3,26-61 / 57-246,7-21-2 / 19-36-0,99/162,47-160 / 93-408,152/131,5/0
Monmouth College,0-63,3/20,3/12,0/8,0/0,41-65 / 29-302,0-3-0 / 10-10-0,0/274,44-65 / 39-576,65/50,2/1
Lawrence University,7-53,19/23,14/16,3/6,2/1,57-218 / 39-442,9-23-2 / 7-12-1,73/180,80-291 / 51-622,142/39,2/1
Lake Forest College,53-13,17/19,9/8,5/11,3/0,38-194 / 34-205,13-26-1 / 15-25-0,119/277,64-313 / 59-482,95/118,4/1
Cornell College,52-20,14/31,5/12,9/16,0/3,32-73 / 44-241,19-39-3 / 22-38-0,279/430,71-352 / 82-671,81/136,3/2
