#,Player,GP,Rating,COMP,ATT,INT,%,YDS,TD,Long,AVG/G,Bio Link
5.0,"Bergida, Tony 5 Bergida, Tony",9,90.41,117,264,12,44.32 %,1420,8,75,157.78,View Bio
6.0,"Bernholtz, Jacob 6 Bernholtz, Jacob",8,116.8,1,1,0,100.00 %,2,0,2,0.25,View Bio
17.0,"Dunn, Carson 17 Dunn, Carson",10,-50.0,0,4,1,0.00 %,0,0,0,0.0,View Bio
2.0,"McGriff, Zach 2 McGriff, Zach",6,0.0,0,2,0,0.00 %,0,0,0,0.0,View Bio
,Total,10,87.77,118,271,13,43.54 %,1422,8,75,142.2,
,Opponents,10,196.85,168,265,2,63.40 %,2922,34,77,292.2,
