Date,Opponent,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Date,Opponent,ATT,YDS,TD,Long,ATT,YDS,TD,Long,YDS,TD,Long,ATT,YDS,TD,Long,ATT,YDS,TD,Long
9/3/2016,St. Olaf,42,107,1,13,12,120,1,34,120,1,34,9,134,0,27,2,17,0,9
9/10/2016,Trinity Bible Coll.,46,219,3,64,9,163,0,41,163,0,41,5,97,0,25,4,11,0,6
9/17/2016,Beloit College,40,211,0,60,19,302,2,59,302,2,59,10,158,0,35,0,0,0,0
9/24/2016,Macalester,42,127,0,16,13,125,0,20,125,0,20,1,8,0,8,1,0,0,0
10/1/2016,Illinois College,40,135,2,15,17,142,0,25,142,0,25,8,167,0,41,0,0,0,0
10/8/2016,Knox College,26,61,1,8,7,99,0,44,99,0,44,7,152,0,28,0,0,0,0
10/15/2016,Monmouth College,41,65,0,12,0,0,0,0,0,0,0,4,65,0,34,0,0,0,0
10/29/2016,Lawrence University,57,218,1,31,9,73,0,35,73,0,35,8,142,0,34,0,0,0,0
11/5/2016,Lake Forest College,38,194,0,23,13,119,2,28,119,2,28,6,90,0,37,2,5,0,4
11/12/2016,Cornell College,32,73,0,22,19,279,3,75,279,3,75,4,81,0,25,0,0,0,0
