Date,Opponent,Result,Score,ATT,Scored,PTS,TDS,TDS,TDS,FGS,FGS,Failed to Score,Failed to Score,Failed to Score,Failed to Score,Failed to Score
Date,Opponent,Result,Score,ATT,Scored,PTS,TOT,Rush,Pass,FGM,FGA,Downs,INT,FUM,Half,Game
9/3/2016,St. Olaf,L,14-69,1,1,7,1,1,0,0,0,0,0,0,0,0
9/10/2016,Trinity Bible Coll.,L,21-27,2,2,14,2,2,0,0,0,0,0,0,0,0
9/17/2016,Beloit College,L,17-72,4,3,17,2,0,2,1,0,1,0,0,0,0
9/24/2016,Macalester,L,0-34,0,0,0,0,0,0,0,0,0,0,0,0,0
10/1/2016,Illinois College,L,14-50,2,2,14,2,2,0,0,0,0,0,0,0,0
10/8/2016,Knox College,L,6-37,2,1,6,1,1,0,0,1,0,0,0,0,0
10/15/2016,Monmouth College,L,0-63,0,0,0,0,0,0,0,0,0,0,0,0,0
10/29/2016,Lawrence University,L,7-53,4,1,7,1,1,0,0,1,1,1,0,0,0
11/5/2016,Lake Forest College,L,13-53,3,2,13,2,0,2,0,0,1,0,0,0,0
11/12/2016,Cornell College,L,20-52,1,0,0,0,0,0,0,0,0,1,0,0,0
,TOTALS,,,19,12,78,11,7,4,1,2,3,2,0,0,0
