Statistic,GRINNELL COLLEGE,Opponents OPP
Scoring,Scoring,Scoring
Points Per Game PPG,11.20,51.00
Total TOT,112,510
First Downs,First Downs,First Downs
Rushing RUSH,76,107
Passing PASS,58,106
Penalty PEN,14,12
Total TOT,148,225
Rushing,Rushing,Rushing
Yards Gained YDS,1690,2774
Yards Lost YDL,280,146
Attempts ATT,404,383
Average Per Attempt AVG/ATT,3.5,6.9
Avg. Per Game AVG/G,141.0,262.8
Touchdowns TDS,8,34
Total TOT,1410,2628
Passing,Passing,Passing
Att-Comp-Int ATT-CMP-INT,271-118-13,265-168-2
Avg. Per Attempt AVG/ATT,5.25,11.03
Avg. Per Game AVG/G,142.20,292.20
Touchdowns TDS,8,34
Total TOT,1422,2922
Total Offense,Total Offense,Total Offense
Total Plays TOT,675,648
Avg. Per Play AVG/P,4.2,8.6
Avg. Per Game AVG/G,283.2,555.0
Total Yards TOT YDS,2832,5550
Touchdowns TDS,16,72
Returns,Returns,Returns
Kickoff: Average KO: AVG,17.65,19.85
Kickoff: Total KO: TOT,62-1094,27-536
Punt: Average P: AVG,3.67,15.05
Punt: Total P: TOT,9-33,20-301
INT: Average INT: AVG,0.00,15.54
INT: Total INT: TOT,2-0,13-202
Kicking,Kicking,Kicking
Punt: Avg. Yards Per Game P: AVG/G,34.70,36.22
Punt: Net Average P: Net AVG,28.97,33.31
Punt: Total Yards P: YDS,63-2186,32-1159
FG: Good-Attempts FG: FGM-FGA,1-4,5-7
Onside Kicks Onside K,0-0,0-0
Penalties,Penalties,Penalties
Avg. Per Game (YDS) AVG/G,50.70,66.50
Total-Yards TOT/YDS,54-507,69-665
Time Of Possession,Time Of Possession,Time Of Possession
Avg. Per Game AVG/G,33:03,26:57
Total TOT,05:30:34,04:29:26
Miscellaneous,Miscellaneous,Miscellaneous
3rd Down Conversions 3rd %,46-152 (30.26 %),48-104 (46.15 %)
4th Down Conversions 4th %,7-28 (25.00 %),11-18 (61.11 %)
Fumbles-Lost FUM-Lost,16-11,9-6
Sacks-Yards Lost SCK YDS,8-41,23-117
PAT: Good-Attempts PAT,13-14,59-66
Misc. Yards MISC YDS,-13,0
Red Zone: Attempts-Scores RZ: ATT-Score,12-19,35-40
Red Zone: Touchdowns RZ: TDS,11-19,32-40
