Stat,Value,Player/Opponent
Rushes,30.0,Carson Dunn vs Macalester (9/24/2016)
Yards Rushing,173.0,Jacob Bernholtz vs Beloit College (9/17/2016)
TD Rushes,2.0,Jacob Bernholtz vs Trinity Bible Coll. (9/10/2016)
Long Rush,64.0,Jacob Bernholtz vs Trinity Bible Coll. (9/10/2016)
Pass Attempts,37.0,Tony Bergida vs Cornell College (11/12/2016)
,37.0,Tony Bergida vs Macalester (9/24/2016)
Pass Completions,19.0,Tony Bergida vs Beloit College (9/17/2016)
Yards Passing,302.0,Tony Bergida vs Beloit College (9/17/2016)
TD Passes,3.0,Tony Bergida vs Cornell College (11/12/2016)
Longest Pass,75.0,Tony Bergida vs Cornell College (11/12/2016)
Receptions,8.0,Erik Henderson vs Beloit College (9/17/2016)
Yards Receiving,191.0,David Taylor vs Beloit College (9/17/2016)
TD Receptions,1.0,David Taylor vs St. Olaf (9/3/2016)
,1.0,Carson Dunn vs Beloit College (9/17/2016)
,1.0,David Taylor vs Beloit College (9/17/2016)
,1.0,Zach McGriff vs Lake Forest College (11/5/2016)
,1.0,David Taylor vs Lake Forest College (11/5/2016)
,1.0,Zach McGriff vs Cornell College (11/12/2016)
,1.0,David Taylor vs Cornell College (11/12/2016)
,1.0,Erik Henderson vs Cornell College (11/12/2016)
Longest Reception,75.0,Erik Henderson vs Cornell College (11/12/2016)
Field Goals,1.0,Ibuki Ogasawara vs Beloit College (9/17/2016)
Longest Field Goal,22.0,Ibuki Ogasawara vs Beloit College (9/17/2016)
Punts,11.0,Kent Hoover vs Macalester (9/24/2016)
Punting Average,40.2,Kent Hoover vs Macalester (9/24/2016)
Longest Punt,69.0,Kent Hoover vs Macalester (9/24/2016)
Longest Punt Return,9.0,Ben Lim vs St. Olaf (9/3/2016)
Longest Kickoff Return,41.0,Max Hill vs Illinois College (10/1/2016)
Tackles,20.0,Ryan Slager vs Knox College (10/8/2016)
Interceptions,1.0,Max Hill vs Macalester (9/24/2016)
,1.0,Joe Galaske vs Lawrence University (10/29/2016)
