#,Player,GP,ATT,Gain,Loss,Net,AVG,TD,Long,AVG/G,Bio Link
6.0,"Bernholtz, Jacob 6 Bernholtz, Jacob",8,131,740,37,703,5.4,4,64,87.88,View Bio
17.0,"Dunn, Carson 17 Dunn, Carson",10,100,380,9,371,3.7,2,15,37.1,View Bio
13.0,"Scott, Chip 13 Scott, Chip",8,99,347,56,291,2.9,1,20,36.38,View Bio
2.0,"McGriff, Zach 2 McGriff, Zach",6,18,49,1,48,2.7,0,12,8.0,View Bio
5.0,"Bergida, Tony 5 Bergida, Tony",9,47,156,137,19,0.4,1,15,2.11,View Bio
,"Rivera, Seb  Rivera, Seb",7,3,16,0,16,5.3,0,8,2.29,
88.0,"Henderson, Erik 88 Henderson, Erik",10,2,2,1,1,0.5,0,2,0.1,View Bio
,Team  Team,6,1,0,8,-8,-8.0,0,0,-1.33,
16.0,"Hoover, Kent 16 Hoover, Kent",9,3,0,31,-31,-10.3,0,0,-3.44,View Bio
,Total,10,404,1690,280,1410,3.5,8,64,141.0,
,Opponents,10,383,2774,146,2628,6.9,34,80,262.8,
