Date,Opponent,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Field Goals,Field Goals,Field Goals,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Kickoffs
Date,Opponent,TOT,YDS,AVG,Long,BLKD,TB,FC,50+,IN20,FGM-FGA,Long,BLKD,TOT,YDS,AVG,TB,OB
9/3/2016,St. Olaf,10,315,31.5,42,0,0,4,0,1,0-1,0.0,1,3,164,54.67,0,0
9/10/2016,Trinity Bible Coll.,2,59,29.5,30,0,0,0,0,0,0-0,,0,4,215,53.75,0,0
9/17/2016,Beloit College,4,118,27.0,32,0,0,0,0,0,1-1,22.0,0,4,204,51.0,0,1
9/24/2016,Macalester,11,442,40.2,69,0,1,0,2,1,0-0,,0,1,48,48.0,0,0
10/1/2016,Illinois College,7,237,33.9,48,0,0,0,0,2,0-0,,0,4,217,54.25,0,0
10/8/2016,Knox College,6,212,35.3,39,0,0,0,0,1,0-1,0.0,1,2,107,53.5,0,0
10/15/2016,Monmouth College,8,277,34.6,53,0,2,3,1,1,0-0,,0,1,60,60.0,0,0
10/29/2016,Lawrence University,4,160,40.0,42,0,0,0,0,0,0-1,0.0,0,2,85,42.5,0,0
11/5/2016,Lake Forest College,4,121,30.2,35,0,0,0,0,1,0-0,,0,3,154,51.33,0,0
11/12/2016,Cornell College,7,245,35.0,65,0,0,0,1,0,0-0,,0,4,200,50.0,0,0
