Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Garwood, David",SO-2,23.65,Fighting Scots Outdoor Invitational,"May 5, 2012",1.5
,"Edwards, Ronald",SO-2,24.09,ERAU Spike's Classic - College/Open,"Mar 23, 2012",-0.1
,"Garwood, David",SO-2,24.18,ERAU Spike's Classic - College/Open,"Mar 23, 2012",1.5
,"Garwood, David",SO-2,24.19,Loras Open,"Apr 28, 2012",-2.5
,"Garwood, David",SO-2,24.25,Cornell Invitational,"Apr 14, 2012",0.8
,"Edwards, Ronald",SO-2,24.34,Cornell Invitational,"Apr 14, 2012",0.8
,"Edwards, Ronald",SO-2,24.43,Dick Young Classic,"Apr 21, 2012",0.1
,"Moorehead, Kyle",FR-1,24.49,Dick Young Classic,"Apr 21, 2012",0.1
,"Mahar, Harry",FR-1,25.09,Dick Young Classic,"Apr 21, 2012",-0.4
,"Edwards, Ronald",SO-2,25.31,Loras Open,"Apr 28, 2012",-2.5
,"Tyree, Isaiah",FR-1,25.67,ERAU Spike's Classic - College/Open,"Mar 23, 2012",-0.1
,"Brown, Keniel",SO-2,26.13,Cornell Invitational,"Apr 14, 2012",-0.6
,"Braun, Zev",FR-1,26.6,Cornell Invitational,"Apr 14, 2012",-1.4
,"Braun, Zev",FR-1,26.79,Dick Young Classic,"Apr 21, 2012",-0.4
,"Hernandez, Luis",FR-1,27.3,Fighting Scots Outdoor Invitational,"May 5, 2012",-0.5
,"Hernandez, Luis",FR-1,27.76,Dick Young Classic,"Apr 21, 2012",-0.6
,"Davis-Johnson, Collin",FR-1,27.91,Dick Young Classic,"Apr 21, 2012",-0.6
,"Hernandez, Luis",FR-1,28.14,Loras Open,"Apr 28, 2012",-3.3
,"Hernandez, Luis",FR-1,28.22,ERAU Spike's Classic - College/Open,"Mar 23, 2012",0.6
,"Hernandez, Luis",FR-1,28.64,Cornell Invitational,"Apr 14, 2012",-0.6
,"Espinosa, Kyle",JR-3,29.45,Dick Young Classic,"Apr 21, 2012",-0.6
,"Espinosa, Kyle",JR-3,29.75,Loras Open,"Apr 28, 2012",-3.3
