Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Boucher, Dylan",JR-3,11.77,Dick Young Classic,"Apr 21, 2012",-1.2
,"Boucher, Dylan",JR-3,11.81,Dick Young Classic,"Apr 21, 2012",-0.3
,"Edwards, Ronald",SO-2,11.91,Dick Young Classic,"Apr 21, 2012",-0.3
,"Edwards, Ronald",SO-2,12.03,Dick Young Classic,"Apr 21, 2012",-1.2
,"Singh, Harpreet",JR-3,12.04,Cornell Invitational,"Apr 14, 2012",-1.4
,"Edwards, Ronald",SO-2,12.06,Cornell Invitational,"Apr 14, 2012",-1.5
,"Garwood, David",SO-2,12.08,Cornell Invitational,"Apr 14, 2012",-0.8
,"Brown, Keniel",SO-2,12.88,Cornell Invitational,"Apr 14, 2012",-0.8
,"Hernandez, Luis",FR-1,13.2,Fighting Scots Outdoor Invitational,"May 5, 2012",1.4
,"Hernandez, Luis",FR-1,13.62,Loras Open,"Apr 28, 2012",1.1
,"Hernandez, Luis",FR-1,13.63,ERAU Spike's Classic - College/Open,"Mar 23, 2012",1.3
,"Hernandez, Luis",FR-1,13.88,Dick Young Classic,"Apr 21, 2012",-1.0
,"Hernandez, Luis",FR-1,14.03,Cornell Invitational,"Apr 14, 2012",-1.4
,"Espinosa, Kyle",JR-3,14.36,Dick Young Classic,"Apr 21, 2012",-0.3
