Unnamed: 0,Time,Athletes,Meet,Meet Date
,3:25.69,,Fighting Scots Outdoor Invitational,"May 5, 2012"
,3:26.19,,Midwest Conference Championships,"May 11, 2012"
,3:28.57,,Dick Young Classic,"Apr 21, 2012"
,3:29.06,,Loras Open,"Apr 28, 2012"
,3:36.04,,Cornell Invitational,"Apr 14, 2012"
,3:37.18,"Singh, Garwood, Mahar, Tyree",Loras Open,"Apr 28, 2012"
,3:38.05,,Dick Young Classic,"Apr 21, 2012"
,3:44.57,"Edwards, Tyree, Singh, Garwood",ERAU Spike's Classic - College/Open,"Mar 23, 2012"
,3:46.01,"McCallum-Cook, McCallum-Cook, Tyler, Krauth",Fighting Scots Outdoor Invitational,"May 5, 2012"
,3:46.68,"Garwood, Mahar, Tyree, Singh",Fighting Scots Outdoor Invitational,"May 5, 2012"
