0,1,2,3
Grinnell College,311,31,2nd
Jon Cohen,74,4,t-2nd
Nirabh Koirala,77,7,t-6th
Chris Marsho,78,8,8th
Travis Palmer,82,12,9th
Max Herzberg,83,13,10th
Rockne Decoster,86,16,11th
Thomas Marsho#,89,19,12th
