0,1,2,3,4,5,6
Grinnell College,339,334,341,1014,150,5th
Jon Cohen,77,78,81,236,20,t-4th
Rockne Decoster,86,81,90,257,41,27th
Chris Marsho,82,90,87,259,43,28th
Nirabh Koirala,94,86,86,266,50,31st
Max Herzberg,99,89,87,275,59,t-35th
Travis Palmer,94,95,93,282,66,38th
