Singles,Overall,1,2,3,4,5,6,Streak,Last 10,vs Ranked,vs Ranked
Singles,Overall,1,2,3,4,5,6,Streak,Last 10,Nat'l,Reg'l
"Agusti, Irene",1-0,—,1-0,—,—,—,—,W 1,1-0,0-0,0-0
"Chavan, Pari",2-0,—,—,1-0,1-0,—,—,W 2,2-0,0-0,0-0
"Ergun, Nehir",3-0,—,—,—,—,2-0,1-0,W 3,3-0,0-0,0-0
"Giannakou, Ioanna",1-1,1-1,—,—,—,—,—,W 1,1-1,0-0,0-0
"Henning, Nichole",4-0,—,—,1-0,1-0,1-0,1-0,W 4,4-0,0-0,0-0
"Kalra, Utsah",4-0,—,—,3-0,—,1-0,—,W 4,4-0,0-0,0-0
"Marin, Sydney",3-0,—,—,—,—,2-0,1-0,W 3,3-0,0-0,0-0
"Perrin, Lily",3-0,1-0,1-0,—,1-0,—,—,W 3,3-0,0-0,0-0
"Persian, Addie",1-0,—,—,—,—,—,1-0,W 1,1-0,0-0,0-0
"Sargent, Paige",3-1,1-0,2-0,0-1,—,—,—,W 3,3-1,0-0,0-0
"Sheth, Anika",4-0,—,2-0,—,2-0,—,—,W 4,4-0,0-0,0-0
"Trapp, Alyssa",1-0,—,—,—,—,—,1-0,W 1,1-0,0-0,0-0
"Voinescu, Isa",3-1,1-1,—,—,1-0,—,1-0,W 2,3-1,0-0,0-0
Total,33-3,4-2,6-0,5-1,6-0,6-0,6-0,—,—,0-0,0-0
Percentage,.917,.667,1.000,.833,1.000,1.000,1.000,—,—,.000,.000
