Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"August 30, 2013 (Friday)",6 p.m.,Neutral,Fontbonne University,"Rock Island, Ill.",,,Augustana (Ill.) Tournament,"W,3-1(23-25; 25-23; 25-19; 25-22)",RecapBox Score
"August 30, 2013 (Friday)",8 p.m.,Away,Augustana College (IL),"Rock Island, Ill.",,,Augustana (Ill.) Tournament,"L,1-3(18-25; 25-18; 23-25; 18-25)",RecapBox Score
"August 31, 2013 (Saturday)",12 p.m.,Neutral,Westminster College (MO),"Rock Island, Ill.",,,Augustana (Ill.) Tournament,"L,1-3(17-25; 29-27; 12-25; 14-25)",Box Score
"August 31, 2013 (Saturday)",2 p.m.,Neutral,Saint Ambrose University (Iowa),"Rock Island, Ill.",,,Augustana (Ill.) Tournament,"L,1-3(21-25; 28-26; 17-25; 14-25)",Box Score
"September 4, 2013 (Wednesday)",7 p.m.,Away,Marian University,"Fond du Lac, Wis.",,,,"W,3-1(25-20, 18-25, 25-19, 25-16)",RecapBox Score
"September 6, 2013 (Friday)",6 p.m.,Neutral,St. Catherine University,"St. Paul, Minn.",,,Hamline University Tournament,"L,0-3(19-25, 18-25, 21-25)",RecapBox Score
"September 6, 2013 (Friday)",8 p.m.,Neutral,Crown College,"St. Paul, Minn.",,,Hamline University Tournament,"W,3-0(25-14, 25-13, 25-21)",RecapBox Score
"September 7, 2013 (Saturday)",10 a.m.,Neutral,Bethany Lutheran College,"St. Paul, Minn.",,,Hamline University Tournament,"W,3-0(25-20, 25-14, 25-19)",RecapBox Score
"September 7, 2013 (Saturday)",2 p.m.,Away,Hamline University,"St. Paul, Minn.",,,Hamline University Tournament,"W,3-0(25-15, 25-22, 25-15)",RecapBox Score
"September 11, 2013 (Wednesday)",5 p.m.,Home,Wisconsin Lutheran College,"RIPON, Wis./Doc Weiske '50 Memorial Gymnasium",,,,"W,3-0(25-19, 25-23, 26-24)",RecapBox Score
"September 11, 2013 (Wednesday)",7 p.m.,Home,Milwaukee School of Engineering,"RIPON, Wis./Doc Weiske '50 Memorial Gymnasium",,,,"W,3-1(25-18, 25-20, 23-25, 25-19)",RecapBox Score
"September 13, 2013 (Friday)",3:30 p.m.,Neutral,UW-Stevens Point,"Oshkosh, Wis.",,,UW-Oshkosh Pizza Hut Classic,"L,1-3(10-25, 15-25, 25-23, 16-25)",RecapBox Score
"September 13, 2013 (Friday)",5:30 p.m.,Neutral,Wartburg College,"Oshkosh, Wis.",,,UW-Oshkosh Pizza Hut Classic,"L,0-318-25, 22-25, 10-25",RecapBox Score
"September 14, 2013 (Saturday)",10 a.m.,Neutral,Martin Luther College,"Oshkosh, Wis.",,,UW-Oshkosh Pizza Hut Classic,"L,1-3(25-14, 21-25, 16-25, 17-25)",RecapBox Score
"September 14, 2013 (Saturday)",2 p.m.,Away,UW-Oshkosh,"Oshkosh, Wis.",,,UW-Oshkosh Pizza Hut Classic,"L,1-3(25-22, 16-25, 8-25, 23-25)",RecapBox Score
"September 20, 2013 (Friday)",4 p.m.,Home,Lakeland College,"RIPON, Wis./Doc Weiske '50 Memorial Gymnasium",,,Red Hawks Invitational,"L,0-3(22-25, 18-25, 14-25)",RecapBox Score
"September 20, 2013 (Friday)",8 p.m.,Home,St. Norbert College,"RIPON, Wis./Doc Weiske '50 Memorial Gymnasium",,,Red Hawks Invitational,"W,3-1(25-23, 14-25, 25-18, 25-13)",RecapBox Score
"September 21, 2013 (Saturday)",12 p.m.,Home,Saint Mary's University (Minn.),"RIPON, Wis./Doc Weiske '50 Memorial Gymnasium",,,Red Hawks Invitational,"L,1-3(21-25, 15-25, 25-22, 22-25)",RecapBox Score
"September 21, 2013 (Saturday)",2 p.m.,Home,Concordia University (Wis.),"RIPON, Wis./Doc Weiske '50 Memorial Gymnasium",,,Red Hawks Invitational,"L,2-3(25-22, 25-13, 26-28, 15-25, 13-15)",RecapBox Score
"September 27, 2013 (Friday)",7 p.m.,Away,Lake Forest College,"Lake Forest, Ill.",,,,"W,3-0(25-13, 25-21, 25-17)",RecapBox Score
"October 5, 2013 (Saturday)",1 p.m.,Away,Illinois College,"Jacksonville, Ill.",,,,"W,3-0(25-17, 25-20, 25-18)",RecapBox Score
"October 8, 2013 (Tuesday)",7 p.m.,Home,Lawrence University,"RIPON, Wis./Doc Weiske '50 Memorial Gymnasium",,,,"L,0-3(22-25, 13-25, 22-25)",RecapBox Score
"October 11, 2013 (Friday)",7 p.m.,Home,Carroll University,"RIPON, Wis./Doc Weiske '50 Memorial Gymnasium",,,Play For The Cure,"W,3-1(19-25, 25-20, 25-20, 27-25)",RecapBox Score
"October 18, 2013 (Friday)",7 p.m.,Home,Knox College,"RIPON, Wis./Doc Weiske '50 Memorial Gymnasium",,,,"W,3-0(25-21, 25-19, 25-18)",RecapBox Score
"October 19, 2013 (Saturday)",1 p.m.,Home,Monmouth College,"RIPON, Wis./Doc Weiske '50 Memorial Gymnasium",,,,"W,3-0(25-23, 25-16, 25-16)",RecapBox Score
"October 25, 2013 (Friday)",7 p.m.,Away,Cornell College,"Mount Vernon, Iowa",,,,"L,0-3(10-25, 17-25, 23-25)",RecapBox Score
"October 26, 2013 (Saturday)",1 p.m.,Away,Grinnell College,"Grinnell, Iowa",,,,"W,3-1(14-25, 25-19, 25-19, 25-21)",RecapBox Score
"October 29, 2013 (Tuesday)",7 p.m.,Home,St. Norbert College,"RIPON, Wis./Doc Weiske '50 Memorial Gymnasium",,,Senior Day,"L,1-3(16-25, 19-25, 25-23, 13-25)",RecapBox Score
"November 1, 2013 (Friday)",7 p.m.,Away,Beloit College,"Beloit, Wis.",,,,"W,3-1(25-19, 23-25, 25-18, 25-15)",RecapBox Score
"November 8, 2013 (Friday)",7 p.m.,Away,Cornell College,"Mount Vernon, Iowa",,,Midwest Conference Tournament,"L,0-3(14-25, 17-25, 24-26)",RecapBox Score
