Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Maddaus, Jordan",FR-1,26.98,16 Midwest Conference Championships,"May 13, 2016",1.7
,"Williams, Alexus",JR-3,27.55,Grinnell College Dick Young Classic,"Apr 23, 2016",2.1
,"Kessel, Hanna",FR-1,27.67,Embry-Riddle Spike's Classic - Collegiate,"Apr 1, 2016",1.0
,"Kessel, Hanna",FR-1,27.94,Monmouth College Fighting Scots Outdoor,"May 7, 2016",0.9
,"Bresette-Buccino, Nora",SR-4,29.66,Monmouth College Fighting Scots Outdoor,"May 7, 2016",1.1
,"Schmiechen, Alex",JR-3,29.97,16 Midwest Conference Championships,"May 13, 2016",2.2
,"Holtzman, Gwen",FR-1,29.99,Embry-Riddle Spike's Classic - Collegiate,"Apr 1, 2016",1.0
,"Schmiechen, Zoe",JR-3,30.33,Monmouth College Fighting Scots Outdoor,"May 7, 2016",1.1
,"Bresnahan, Cara",FR-1,30.41,2016 Cornell Outdoor Invite,"Apr 9, 2016",0.1
,"Wang, Yule",FR-1,32.0,Grinnell College Dick Young Classic,"Apr 23, 2016",-1.0
,"Haralalka, Vedica",FR-1,34.13,2016 Cornell Outdoor Invite,"Apr 9, 2016",1.8
,"Silverwood, Sierra",SO-2,34.78,2016 Cornell Outdoor Invite,"Apr 9, 2016",0.8
