Unnamed: 0,Time,Athletes,Meet,Meet Date
,4:13.40,"Edassery, Staker, Crowe, Frasca",Darren Young Classic,"Feb 11, 2023"
,4:26.17,"Edassery, Staker, Carchidi, Frasca",Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
,4:31.92,"Reid, Sheehan-Klenk, Kaczmarczyk, Staker",Grinnell Invitational,"Jan 28, 2023"
,4:35.80,"Elliott-Rude, Kaczmarczyk, Rabbani, Roark",Darren Young Classic,"Feb 11, 2023"
,4:42.32,"Reid, Sheehan-Klenk, Barba, Rabbani",Grinnell Opener,"Dec 9, 2022"
