Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"September 2, 2016 (Friday)",,Home,Wisconsin Lutheran College,"Beloit, Wis./Flood Arena (Sports Center)",,,"L,0-321-25, 12-25, 17-25",
"September 2, 2016 (Friday)",,Home,Blackburn College,"Beloit, Wis./Flood Arena (Sports Center)",,,"W,3-025-17, 25-20, 25-19",
"September 3, 2016 (Saturday)",,Home,Illinois Institute of Technology,"Beloit, Wis./Flood Arena (Sports Center)",,,"W,3-224-26, 25-22, 21-25, 25-22, 16-14",
"September 3, 2016 (Saturday)",,Home,North Central University (MN),"Beloit, Wis./Flood Arena (Sports Center)",,,"W,3-025-20, 25-14, 25-12",
"September 6, 2016 (Tuesday)",,Home,Alverno College,"Beloit, Wis.",,,"W,3-125-16, 25-14, 23-25, 25-18",
"September 9, 2016 (Friday)",,Home,SUNY- Brockport,"Beloit, Wis.",,,"L,0-324-26, 14-25, 16-25",
"September 9, 2016 (Friday)",,Home,Utica,"Beloit, Wis.",,,"W,3-223-25, 25-20, 19-25, 25-15, 15-8",
"September 16, 2016 (Friday)",,Home,North Park University,"Beloit, Wis./Flood Arena (Sports Center)",,,"L,0-323-25, 20-25, 16-25",
"September 16, 2016 (Friday)",,Home,Aurora University,"Beloit, Wis./Flood Arena (Sports Center)",,,"L,0-321-25, 12-25, 14-25",
"September 17, 2016 (Saturday)",,Home,Knox College,"Beloit, Wis./Flood Arena (Sports Center)",,,"L,1-322-25, 25-17, 17-25, 21-25",
"September 17, 2016 (Saturday)",,Home,UW- River Falls,"Beloit, Wis./Flood Arena (Sports Center)",,,"L,0-38-25, 14-25, 12-25",
"September 24, 2016 (Saturday)",,Home,Mount Mary University,"Beloit, Wis./Flood Arena (Sports Center)",,,"W,3-025-19, 25-13, 25-8",
"September 24, 2016 (Saturday)",,Away,Alverno College,"Milwaukee, Wis.",,,"W,3-125-23, 20-25, 25-11, 25-22",
"September 27, 2016 (Tuesday)",,Home,Rockford University,"Beloit, Wis./Flood Arena (Sports Center)",,,"W,3-228-26, 24-26, 20-25, 25-18, 15-13",
"October 1, 2016 (Saturday)",,Away,Monmouth College,"Monmouth, Ill.",,,"L,1-315-25, 25-17, 30-32, 23-25",
"October 4, 2016 (Tuesday)",,Home,Marian University,"Beloit, Wis./Flood Arena (Sports Center)",,,"W,3-225-18, 25-13, 21-25, 16-25, 15-13",
"October 7, 2016 (Friday)",,Home,Grinnell College,"Beloit, Wis./Flood Arena (Sports Center)",,,"L,0-318-25, 11-25, 13-25",
"October 8, 2016 (Saturday)",,Home,Cornell College,"Beloit, Wis./Flood Arena (Sports Center)",,,"L,0-314-25, 23-25, 16-25",
"October 11, 2016 (Tuesday)",,Home,Lawrence University,"Beloit, Wis./Flood Arena (Sports Center)",,,"L,0-314-25, 23-25, 13-25",
"October 14, 2016 (Friday)",,Away,Ripon College,"Ripon, Wis.",,,"L,1-316-25, 12-25, 25-17, 14-25",
"October 21, 2016 (Friday)",,Away,Knox College,"Galesburg, Ill.",,,"L,1-321-25, 25-27, 25-20, 20-25",
"October 22, 2016 (Saturday)",,Away,Illinois College,"Jacksonville, Ill.",,,"L,1-322-25, 9-25, 25-23, 13-25",
"October 25, 2016 (Tuesday)",,Away,Lake Forest College,"Lake Forest, Ill.",,,"L,0-315-25, 22-25, 22-25",
"October 28, 2016 (Friday)",,Home,St. Norbert College,"Beloit, Wis./Flood Arena (Sports Center)",,,"L,2-322-25, 25-20, 13-25, 25-20, 8-15",
"October 29, 2016 (Saturday)",,Away,Mount Mary University,"Milwaukee, Wis.",,,"W,3-025-18, 25-19, 25-17",
