Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date,Wind
,"Dykstra, Murphy",FR-1,12.85m,"42' 2""",2024 Kip Janvrin Open,"Apr 25, 2024",0.8
,"Oliveira, Casey",FR-1,12.81m,"42' 0.5""",Midwest Conference Outdoor Championships,"May 10, 2024",0.1
