Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Serunjogi, Tefiro",SO-2,8.94m,"29' 4""",Midwest Conference Outdoor Track & Field Championships,"May 10, 2013"
,"Serunjogi, Tefiro",SO-2,8.85m,"29' 0.5""",Cornell College Invitational,"Apr 6, 2013"
,"Serunjogi, Tefiro",SO-2,8.80m,"28' 10.5""",Cornell College Invitational,"Apr 6, 2013"
,"Serunjogi, Tefiro",SO-2,8.78m,"28' 9.75""",Kip Janvrin Open,"Apr 25, 2013"
,"Serunjogi, Tefiro",SO-2,8.65m,"28' 4.5""",Central College Open,"Apr 20, 2013"
,"Serunjogi, Tefiro",SO-2,8.63m,"28' 3.75""",Cornell College Invitational,"Apr 6, 2013"
,"Serunjogi, Tefiro",SO-2,8.19m,"26' 10.5""",Midwest Conference Outdoor Track & Field Championships,"May 10, 2013"
,"Serunjogi, Tefiro",SO-2,7.86m,"25' 9.5""",Kip Janvrin Open,"Apr 25, 2013"
,"Serunjogi, Tefiro",SO-2,7.67m,"25' 2""",2013 Monmouth Fighting Scots,"May 4, 2013"
,"Serunjogi, Tefiro",SO-2,7.62m,"25' 0""",2013 Monmouth Fighting Scots,"May 4, 2013"
,"Serunjogi, Tefiro",SO-2,7.50m,"24' 7.25""",Kip Janvrin Open,"Apr 25, 2013"
