Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date,Wind
,"Warnock, Gavin",JR-3,13.45m,"44' 1.5""",Kip Janvrin Open,"Apr 25, 2013",0.0
,"Warnock, Gavin",JR-3,13.07m,"42' 10.75""",Walt Disney World Invitational,"Mar 22, 2013",1.3
,"Warnock, Gavin",JR-3,13.02m,"42' 8.75""",Kip Janvrin Open,"Apr 25, 2013",-1.0
,"Lentsch, Griffin",SR-4,12.97m,"42' 6.75""",Midwest Conference Outdoor Track & Field Championships,"May 10, 2013",0.2
,"Warnock, Gavin",JR-3,12.97m,"42' 6.75""",Walt Disney World Invitational,"Mar 22, 2013",1.5
,"Lentsch, Griffin",SR-4,12.89m,"42' 3.5""",Midwest Conference Outdoor Track & Field Championships,"May 10, 2013",0.9
,"Warnock, Gavin",JR-3,12.88m,"42' 3.25""",Central College Open,"Apr 20, 2013",-1.0
,"Warnock, Gavin",JR-3,12.86m,"42' 2.25""",Central College Open,"Apr 20, 2013",-0.8
,"Warnock, Gavin",JR-3,12.82m,"42' 0.75""",Cornell College Invitational,"Apr 6, 2013",1.6
,"Lentsch, Griffin",SR-4,12.76m,"41' 10.5""",Midwest Conference Outdoor Track & Field Championships,"May 10, 2013",0.7
,"Warnock, Gavin",JR-3,12.75m,"41' 10""",Central College Open,"Apr 20, 2013",0.0
,"Warnock, Gavin",JR-3,12.69m,"41' 7.75""",Walt Disney World Invitational,"Mar 22, 2013",1.6
,"Warnock, Gavin",JR-3,12.66m,"41' 6.5""",Walt Disney World Invitational,"Mar 22, 2013",0.2
,"Warnock, Gavin",JR-3,12.60m,"41' 4.25""",Midwest Conference Outdoor Track & Field Championships,"May 10, 2013",0.9
,"Lentsch, Griffin",SR-4,12.59m,"41' 3.75""",Midwest Conference Outdoor Track & Field Championships,"May 10, 2013",0.3
,"Lentsch, Griffin",SR-4,12.50m,"41' 0.25""",Central College Open,"Apr 20, 2013",-1.3
,"Warnock, Gavin",JR-3,12.48m,"40' 11.5""",Cornell College Invitational,"Apr 6, 2013",0.1
,"Lentsch, Griffin",SR-4,12.45m,"40' 10.25""",Kip Janvrin Open,"Apr 25, 2013",-0.8
,"Warnock, Gavin",JR-3,12.39m,"40' 7.75""",Cornell College Invitational,"Apr 6, 2013",1.2
,"Lentsch, Griffin",SR-4,12.30m,"40' 4.25""",Kip Janvrin Open,"Apr 25, 2013",-3.1
,"Warnock, Gavin",JR-3,12.24m,"40' 2""",Central College Open,"Apr 20, 2013",-1.2
,"Warnock, Gavin",JR-3,12.18m,"39' 11.5""",Midwest Conference Outdoor Track & Field Championships,"May 10, 2013",0.7
,"Lentsch, Griffin",SR-4,12.18m,"39' 11.5""",Central College Open,"Apr 20, 2013",-1.4
,"Lentsch, Griffin",SR-4,12.17m,"39' 11.25""",Central College Open,"Apr 20, 2013",-1.3
,"Warnock, Gavin",JR-3,12.03m,"39' 5.75""",Walt Disney World Invitational,"Mar 22, 2013",1.9
,"Warnock, Gavin",JR-3,11.93m,"39' 1.75""",Cornell College Invitational,"Apr 6, 2013",2.0
,"Romeo, Dixon",FR-1,10.18m,"33' 4.75""",Cornell College Invitational,"Apr 6, 2013",1.3
,"Takatsuka, Kohei",SR-4,10.09m,"33' 1.25""",Cornell College Invitational,"Apr 6, 2013",1.5
,"Vaughn, Ben",SO-2,10.03m,"32' 11""",Cornell College Invitational,"Apr 6, 2013",0.1
,"Takatsuka, Kohei",SR-4,10.02m,"32' 10.5""",2013 Monmouth Fighting Scots,"May 4, 2013",1.6
,"Takatsuka, Kohei",SR-4,10.00m,"32' 9.75""",Kip Janvrin Open,"Apr 25, 2013",1.1
,"Vaughn, Ben",SO-2,9.94m,"32' 7.5""",2013 Monmouth Fighting Scots,"May 4, 2013",1.5
,"Vaughn, Ben",SO-2,9.92m,"32' 6.5""",Cornell College Invitational,"Apr 6, 2013",0.8
,"Takatsuka, Kohei",SR-4,9.86m,"32' 4.25""",Midwest Conference Outdoor Track & Field Championships,"May 10, 2013",0.7
,"Vaughn, Ben",SO-2,9.84m,"32' 3.5""",Cornell College Invitational,"Apr 6, 2013",-0.1
,"Vaughn, Ben",SO-2,9.79m,"32' 1.5""",Cornell College Invitational,"Apr 6, 2013",0.5
,"Vaughn, Ben",SO-2,9.78m,"32' 1""",Cornell College Invitational,"Apr 6, 2013",1.8
,"Takatsuka, Kohei",SR-4,9.66m,"31' 8.5""",Midwest Conference Outdoor Track & Field Championships,"May 10, 2013",1.3
,"Vaughn, Ben",SO-2,9.65m,"31' 8""",Cornell College Invitational,"Apr 6, 2013",0.4
,"Takatsuka, Kohei",SR-4,9.57m,"31' 4.75""",Cornell College Invitational,"Apr 6, 2013",1.7
,"Takatsuka, Kohei",SR-4,9.20m,"30' 2.25""",Cornell College Invitational,"Apr 6, 2013",1.3
,"Takatsuka, Kohei",SR-4,9.14m,"30' 0""",Kip Janvrin Open,"Apr 25, 2013",-1.6
