Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Banks, Quinton",SR-4,51.03,Walt Disney World Invitational,"Mar 22, 2013"
,"Banks, Quinton",SR-4,51.71,Kip Janvrin Open,"Apr 25, 2013"
,"Garwood, David",SR-4,51.83,2013 Monmouth Fighting Scots,"May 4, 2013"
,"Banks, Quinton",SR-4,52.01,2013 Monmouth Fighting Scots,"May 4, 2013"
,"Edwards, Ronald",JR-3,52.09,Kip Janvrin Open,"Apr 25, 2013"
,"Garwood, David",SR-4,52.33,Central College Open,"Apr 20, 2013"
,"Banks, Quinton",SR-4,52.39,Cornell College Invitational,"Apr 6, 2013"
,"Garwood, David",SR-4,52.54,Midwest Conference Outdoor Track & Field Championships,"May 10, 2013"
,"Moorehead, Kyle",SO-2,52.64,Central College Open,"Apr 20, 2013"
,"Banks, Quinton",SR-4,52.86,Midwest Conference Outdoor Track & Field Championships,"May 10, 2013"
,"Garwood, David",SR-4,53.33,Cornell College Invitational,"Apr 6, 2013"
,"Romeo, Dixon",FR-1,53.75,Central College Open,"Apr 20, 2013"
,"Romeo, Dixon",FR-1,55.00,2013 Monmouth Fighting Scots,"May 4, 2013"
,"Mothershead, Ben",FR-1,55.64,Kip Janvrin Open,"Apr 25, 2013"
,"Conwell, Tim",FR-1,56.53,Central College Open,"Apr 20, 2013"
,"Mothershead, Ben",FR-1,56.56,Midwest Conference Outdoor Track & Field Championships,"May 10, 2013"
,"Conwell, Tim",FR-1,57.21,2013 Monmouth Fighting Scots,"May 4, 2013"
,"Conwell, Tim",FR-1,57.58,Cornell College Invitational,"Apr 6, 2013"
,"Mothershead, Ben",FR-1,1:00.06,2013 Monmouth Fighting Scots,"May 4, 2013"
